feature_group	feature	4MCAD - CAD Software By 4M SA 	Caddie - CAD Software By Advanced Computer Solutions Limited 	BricsCAD Pro - CAD Software By Bricsys Inc. 	CMS IntelliCAD - CAD Software By CAD Manufacturing Solutions Inc. 	Draftsight Individual - CAD Software By Dassault Systemes Americas Corporation 	Digital Project - CAD Software By Digital Project, Inc 	MicroSurvey embeddedCAD - CAD Software By MicroSurvey Software Inc. 	Microsurvey inCAD - CAD Software By MicroSurvey Software Inc. 	Microsurvey CAD - CAD Software By MicroSurvey Software Inc. 	Autodesk - CAD Software By Autodesk Inc. 
Productivity Features	Archive and Share	0	1	0	0	1	0	0	0	1	1
Productivity Features	Command Line	1	0	1	1	1	1	1	1	1	1
Productivity Features	Copy Details	1	0	0	1	1	1	1	1	1	1
Productivity Features	Design-Model Consistency	0	0	1	1	0	1	0	1	0	1
Productivity Features	Manage User Roles and Permissions	0	0	0	1	0	0	0	0	0	0
Productivity Features	Virtual Parts Library	1	1	1	0	0	0	0	0	0	0
Collaboration Features	2D to 3D CAD Conversion	0	1	1	0	0	1	0	0	0	0
Collaboration Features	3D Printing	1	1	1	0	0	1	0	0	0	1
Collaboration Features	3D Viewing Tools	1	1	1	1	0	1	1	0	1	1
Collaboration Features	Multiple User Reviews	1	0	0	0	1	0	0	1	1	1
Collaboration Features	Version Control	1	0	0	1	0	0	0	0	0	0
Advanced Surfacing Features	Copy Surface	1	1	1	0	1	0	1	1	1	1
Advanced Surfacing Features	Create Organic Shapes	0	0	0	1	0	1	0	0	0	0
Advanced Surfacing Features	Curvature Analysis	0	0	0	0	0	0	1	1	1	1
Advanced Surfacing Features	Draft Analysis	1	1	0	0	1	0	1	1	1	1
Advanced Surfacing Features	Extend	0	1	0	1	1	0	0	1	1	1
Advanced Surfacing Features	Extrude	0	1	0	1	0	0	0	1	1	1
Advanced Surfacing Features	Freeform Radiated Surface	0	0	0	0	0	1	0	0	0	0
Advanced Surfacing Features	Loft	0	0	0	0	0	0	0	0	0	1
Advanced Surfacing Features	Min Radius Analysis	0	0	1	0	0	0	0	0	0	0
Advanced Surfacing Features	Move/Copy Face	0	1	1	0	1	0	1	1	1	1
Advanced Surfacing Features	Revolve	0	1	1	1	1	0	1	0	1	1
Advanced Surfacing Features	Stylize Shapes	0	0	0	0	0	1	0	0	0	0
Advanced Surfacing Features	Surface Fill	0	0	1	1	1	0	0	0	0	0
Advanced Surfacing Features	Swept	0	0	1	0	0	0	0	0	0	1
Advanced Surfacing Features	Symmetry Check Analysis	0	0	0	0	0	1	0	0	0	0
Advanced Surfacing Features	Thickness Analysis	0	0	0	0	0	1	0	0	0	0
Advanced Surfacing Features	Trim	0	1	0	0	1	0	1	1	1	1
Advanced Surfacing Features	Zebra Stripes Analysis	0	0	0	0	0	0	0	0	0	1
Advanced Surfacing Features	Click and Drag Geometry	1	1	1	1	1	1	1	1	1	1
Architecture Features	Building Energy Analysis	0	1	0	0	0	1	0	0	0	1
Architecture Features	Construction Modeling	1	1	1	0	1	1	1	1	1	1
Architecture Features	Elevation	0	1	0	1	0	1	1	1	1	1
Architecture Features	Landscaping Tools	0	1	1	1	1	1	1	0	1	1
Architecture Features	Stairs and Railings	0	1	1	0	0	0	1	0	0	1
Architecture Features	Surveying Tools	0	1	0	1	0	0	1	1	1	1
Architecture Features	Walls, Doors, Windows	0	1	0	0	0	1	0	0	0	1
Electrical Features	2D Circuit Design	0	1	1	0	0	0	0	0	0	1
Electrical Features	3D Electrical System Modeling	0	1	1	0	0	0	0	0	0	1
Electrical Features	Analog Circuit Analysis	0	0	0	0	0	0	0	0	0	1
Electrical Features	Automatic Wire Numbering	0	0	0	0	0	0	0	0	0	1
Electrical Features	Detailing Tools	0	0	1	0	0	0	0	0	0	1
Electrical Features	Digital Circuit Analysis	0	0	0	0	0	0	0	0	0	1
Electrical Features	Electrical Symbol Library	0	0	0	0	0	0	0	0	0	1
Electrical Features	Real Time Error Checking	0	0	0	0	0	0	0	0	0	1
Sheet Metal Design Features	Bend Allowance/Deduction	0	0	0	0	0	0	0	0	0	1
Sheet Metal Design Features	Bend Lines	0	0	0	0	0	0	0	0	0	1
Sheet Metal Design Features	Bend Table	0	0	0	0	0	0	0	0	0	1
Sheet Metal Design Features	Forming Tools	0	0	0	0	0	0	0	0	0	1
Sheet Metal Design Features	Hole Tables	0	0	0	0	0	0	0	0	0	1
Sheet Metal Design Features	Placement Sketches	0	0	0	0	0	0	0	0	0	1
Sheet Metal Design Features	Punch Tables	0	0	0	0	0	0	0	0	0	1
Sheet Metal Design Features	Toggle Flat Display	0	0	0	0	0	0	0	0	0	1
Sheet Metal Design Features	Weld Table	0	1	0	0	0	0	0	0	0	1
Training	Installation	0	1	0	1	0	0	0	1	1	0
Training	Maintenance	0	0	0	0	0	0	1	0	1	0
Training	Training Features	1	1	1	0	1	1	1	1	1	1
Training	Training Programs	0	1	0	0	1	1	1	1	1	1
