feature_group	feature	Microsurvey PointPrep - CAD Software By MicroSurvey Software Inc. 	Microsurvey CAD Premium - CAD Software By MicroSurvey Software Inc. 	AutoCAD Raster Design - CAD Software By Autodesk Inc. 	Microsurvey CAD Ultimate - CAD Software By MicroSurvey Software Inc. 	Microsurvey CAD Studio - CAD Software By MicroSurvey Software Inc. 	Microsurvey CAD Basic - CAD Software By MicroSurvey Software Inc. 	Microsurvey CAD Standard - CAD Software By MicroSurvey Software Inc. 	Coins - CAD Software By Construction Industry Solutions Ltd. 	Caddie Education - CAD Software By Advanced Computer Solutions Limited 	HiCAD - CAD Software By ISD Software and Systeme GmbH 
Productivity Features	Archive and Share	0	1	1	1	1	0	0	0	0	0
Productivity Features	Command Line	1	1	1	0	1	0	1	0	0	0
Productivity Features	Copy Details	1	1	1	1	1	0	1	0	0	0
Productivity Features	Design-Model Consistency	0	0	1	0	1	0	0	0	1	0
Productivity Features	Virtual Parts Library	0	0	0	0	0	0	0	0	1	1
Collaboration Features	2D to 3D CAD Conversion	0	0	0	0	0	0	0	1	0	1
Collaboration Features	3D Printing	0	0	0	0	1	0	0	0	0	0
Collaboration Features	3D Viewing Tools	0	1	1	1	1	0	1	1	0	1
Collaboration Features	Multiple User Reviews	1	1	0	1	1	1	1	0	0	0
Collaboration Features	Parts Ownership	0	0	0	0	0	0	0	0	1	0
Advanced Surfacing Features	Click and Drag Geometry	1	1	0	1	1	0	1	0	1	1
Advanced Surfacing Features	Copy Surface	1	1	0	1	1	0	1	0	1	0
Advanced Surfacing Features	Curvature Analysis	1	1	0	1	1	0	1	0	0	0
Advanced Surfacing Features	Draft Analysis	1	1	0	1	1	0	1	0	0	0
Advanced Surfacing Features	Extend	0	1	0	1	1	0	1	0	1	1
Advanced Surfacing Features	Extrude	0	0	0	0	0	0	0	0	1	1
Advanced Surfacing Features	Loft	0	0	0	0	0	0	0	0	0	1
Advanced Surfacing Features	Move/Copy Face	0	1	0	1	1	0	1	0	1	0
Advanced Surfacing Features	Revolve	0	0	0	0	0	0	0	0	1	1
Advanced Surfacing Features	Surface Fill	1	0	0	0	0	0	0	0	0	0
Advanced Surfacing Features	Swept	0	0	0	0	0	0	0	0	0	1
Advanced Surfacing Features	Trim	0	1	0	1	1	0	1	0	1	1
Architecture Features	Building Energy Analysis	0	0	0	0	0	0	0	1	0	0
Architecture Features	Construction Modeling	1	1	0	1	1	1	1	1	1	0
Architecture Features	Elevation	1	1	1	1	1	1	1	0	1	0
Architecture Features	Landscaping Tools	0	0	0	0	0	0	0	0	1	0
Architecture Features	Stairs and Railings	0	0	0	0	0	0	0	0	1	0
Architecture Features	Surveying Tools	1	1	1	1	1	1	1	0	1	0
Architecture Features	Walls, Doors, Windows	0	0	0	0	0	0	0	0	1	0
Electrical Features	2D Circuit Design	0	0	0	0	0	0	0	1	0	0
Sheet Metal Design Features	Bend Allowance/Deduction	0	0	0	0	0	0	0	0	0	1
Sheet Metal Design Features	Bend Lines	0	0	0	0	0	0	0	0	0	1
Sheet Metal Design Features	Forming Tools	0	0	0	0	0	0	0	0	0	1
Sheet Metal Design Features	Hole Tables	0	0	0	0	0	0	0	0	0	1
Sheet Metal Design Features	Placement Sketches	0	0	0	0	0	0	0	0	0	1
Training	Installation	0	1	0	1	1	1	1	0	0	0
Training	Maintenance	0	0	0	1	1	0	1	0	0	0
Training	Training Features	1	1	1	1	1	1	1	1	1	1
Training	Training Programs	1	1	1	1	1	1	1	1	1	1
