feature_group	feature	MVP Plant	ePAC	Verisae	FieldAware	NetFacilities	QFM	DPSI PMC	API Pro	FastMaint	I'mOnIt!
Functionality	Capital Program Management	1	0	0	0	0	0	0	0	0	0
Functionality	Environmental Sustainability	1	0	1	0	0	1	0	0	0	0
Functionality	Lease Administration	1	0	0	1	0	0	0	0	0	0
Functionality	Maintenance Management	1	1	1	1	1	1	1	1	0	1
Functionality	Move Management	1	1	1	0	0	1	0	0	0	0
Functionality	Predictive Maintenance	1	1	0	0	1	0	0	0	0	0
Functionality	Preventive Maintenance	1	1	1	0	1	1	1	0	1	1
Functionality	Real Estate Portfolio Management	1	0	0	0	0	0	0	0	0	0
Functionality	Space Management	1	0	1	0	1	1	0	0	0	0
Functionality	Asset Management	1	1	1	1	1	1	1	1	1	1
Functionality	Inventory Management	1	1	1	1	1	1	1	1	1	1
Functionality	Work Order Management	1	1	1	1	1	1	1	1	1	1
Features	Barcode Scanning	1	0	1	1	0	1	1	1	1	0
Features	Document Management	1	1	1	0	1	1	0	1	1	0
Features	Key & Lock Management	1	0	0	0	0	0	0	0	0	0
Features	Maintenance Scheduling	1	1	1	1	1	1	1	0	1	1
Features	Project Management	1	0	0	0	1	0	1	1	0	0
Features	Relationship Management	1	0	0	0	1	0	0	0	0	0
Features	Timecard Management	0	0	1	0	0	0	1	1	0	0
Features	Equipment Management	1	1	1	1	1	1	1	1	1	1
Admin Features	Calendar	1	1	0	0	0	0	1	0	1	1
Admin Features	Mobile Access	1	0	1	1	1	1	0	1	0	1
Admin Features	Multiple Currencies	1	0	1	0	0	0	0	0	0	0
Admin Features	Multiple Languages	1	0	1	0	0	1	0	1	0	0
Admin Features	Multiple Locations	1	0	1	0	0	1	1	1	1	0
Admin Features	Reporting & Analytics	1	1	1	0	1	1	1	0	1	1
Customization Features	Category Customization	1	0	0	0	1	0	1	1	0	0
Customization Features	Custom User Interface	1	0	0	1	1	1	1	1	0	0
Customization Features	Customizable Fields	1	0	0	1	1	0	1	1	1	0
Customization Features	Customizable Functionality	1	0	0	1	1	1	1	1	0	0
Customization Features	Customizable Reports	1	0	1	1	1	1	1	0	1	0
Customization Features	Software Development Kit	1	0	0	0	0	0	1	0	0	0
Support Features	24/7	1	0	1	0	0	1	1	0	0	0
Support Features	Blog	1	0	1	1	0	0	1	0	1	0
Support Features	Brochures	1	0	0	1	0	1	0	0	0	1
Support Features	Email	1	1	1	1	1	1	1	0	1	1
Support Features	FAQ	1	0	1	0	1	1	1	0	1	1
Support Features	Forums	1	0	0	0	0	0	0	0	0	0
Support Features	Help Desk	1	0	1	0	1	1	0	0	1	0
Support Features	Instructional Videos	1	0	0	1	1	0	0	0	1	0
Support Features	Knowledge base	1	0	0	0	0	1	0	1	1	0
Support Features	Live chat	1	0	0	0	0	1	0	0	0	0
Support Features	Mailing List	1	0	0	0	1	1	0	0	0	0
Support Features	Normal business hours	1	0	1	0	0	0	0	0	0	1
Support Features	On-site	1	0	0	0	1	0	1	0	0	0
Support Features	Online self serve	1	0	0	0	1	0	0	0	0	0
Support Features	Owner's/User Manual	1	0	0	0	0	0	0	0	0	0
Support Features	Recorded demos	0	0	0	1	0	0	0	0	1	1
Support Features	Remote Training	0	0	1	0	0	0	1	0	0	0
Support Features	Request form	0	1	1	1	1	1	0	0	0	0
Support Features	Webinars	0	0	1	1	0	0	1	0	0	1
Support Features	White papers	0	1	1	1	0	1	0	0	0	0
Support Features	Phone	1	1	1	1	1	1	1	1	1	1
