feature_group	feature	ProjecTools	BuildStar	Projectmates	COINS	Microsoft Dynamics SL	PlanSwift	Vertical Market Software	Project DocControl	CMiC xProjects	Priority Task Scheduling
Functionality	Project Management	1	1	1	1	1	0	1	1	1	1
Functionality	Estimating	1	1	0	1	0	1	1	0	0	0
Functionality	Accounting	1	1	1	1	1	0	1	0	1	0
Project Management Features	Bidding	1	1	1	0	1	0	0	0	1	0
Project Management Features	Change Orders	1	1	1	1	1	1	1	1	1	0
Project Management Features	Contract Management	0	1	1	1	1	0	0	1	1	0
Project Management Features	Cost Management	1	1	1	1	1	1	0	1	1	1
Project Management Features	Daily Log	0	1	1	1	1	0	0	1	1	0
Project Management Features	Document Management	1	1	1	1	1	1	1	1	1	0
Project Management Features	Equipment Management	1	0	0	0	0	0	1	1	1	1
Project Management Features	Equiptment Tracking	0	0	0	0	0	0	0	0	0	1
Project Management Features	Estimate/Actual Cost Tracking	0	0	0	0	0	0	0	0	0	1
Project Management Features	Facility Management	0	0	1	1	0	0	0	0	1	0
Project Management Features	Gantt Chart Master Schedule	1	1	0	0	0	0	0	1	1	1
Project Management Features	Manpower Loading	0	0	0	0	0	0	0	0	0	1
Project Management Features	Payroll Report	0	0	0	0	0	0	0	0	0	1
Project Management Features	Procurement	1	0	1	1	0	0	0	0	1	0
Project Management Features	Punch List	1	1	1	0	0	0	0	0	1	0
Project Management Features	RFIs/Submittals	1	1	1	0	0	0	0	1	1	0
Project Management Features	Scheduling	1	1	1	1	0	0	1	1	1	1
Project Management Features	Time Tracking	0	0	0	0	0	0	0	0	0	1
Project Management Features	Timecard	0	0	0	0	1	0	0	0	0	1
Project Management Features	Two-Week Rolling Schedules	0	0	0	0	0	0	0	0	0	1
Estimating Features	"What-if" Analysis	0	0	0	1	0	1	0	0	0	0
Estimating Features	3D Takeoff	0	0	0	0	0	1	0	0	0	0
Estimating Features	Bid Comparison	1	1	0	0	0	1	0	0	1	0
Estimating Features	BIM Integration	0	0	0	1	0	1	0	0	0	0
Estimating Features	Conceptual Estimates	1	1	0	1	0	1	0	0	1	0
Estimating Features	Cost Database	1	0	0	0	0	1	1	0	1	0
Estimating Features	Digitizer Integration	0	0	0	0	0	1	0	0	0	0
Estimating Features	Excel/PDF File Import	0	0	0	1	0	1	0	0	0	0
Estimating Features	Import actual estimate data	0	0	0	0	0	0	0	0	0	1
Estimating Features	Item List	0	1	0	0	0	1	1	0	1	0
Estimating Features	On-Screen Takeoff	1	0	0	1	0	1	0	0	0	0
Estimating Features	Proposal Generator	0	1	0	0	0	1	0	0	0	0
Estimating Features	Track actual progress	0	0	0	0	0	0	0	0	0	1
Estimating Features	Write detailed schedules	0	0	0	0	0	0	0	0	0	1
Accounting Features	Accounts Payable	0	1	0	0	1	0	1	0	1	0
Accounting Features	Accounts Receivable	0	1	0	0	1	0	1	0	1	0
Accounting Features	AIA Billing	0	0	0	0	0	0	1	0	0	0
Accounting Features	Bank Reconciliation	0	0	0	0	1	0	0	0	1	0
Accounting Features	Fixed Assets	0	0	0	0	0	0	0	0	1	0
Accounting Features	General Ledger	0	1	0	0	1	0	1	0	1	0
Accounting Features	Inventory Management	1	0	0	0	1	0	1	0	1	0
Accounting Features	Job Costing	1	1	1	1	1	1	1	0	1	1
Accounting Features	Materials Management	1	0	0	0	1	1	0	0	1	0
Accounting Features	Payroll Processing	0	0	0	0	1	0	1	0	1	0
Accounting Features	Purchase Order	1	1	1	0	1	0	1	0	1	1
Accounting Features	Time & Materials Billing	0	1	0	0	0	1	1	0	0	0
Service Management Features	Dispatch	0	1	0	0	1	0	1	0	1	0
Service Management Features	Forecasting	0	0	0	0	0	0	0	0	0	1
Service Management Features	In Program Tutorials	0	0	0	0	0	0	0	0	0	1
Service Management Features	Inventory Management	1	0	0	0	1	0	1	0	1	0
Service Management Features	Purchase Order	0	0	0	0	0	0	0	0	0	1
Service Management Features	Service Contracts	1	1	0	1	1	0	1	0	1	0
Service Management Features	Service Quotes	0	1	0	0	0	1	0	0	0	0
Service Management Features	Work Orders	1	1	1	0	1	0	1	1	1	0
Integration	API for Custom Integrations	0	0	0	0	0	1	0	0	0	0
Integration	Automatic Field Mapping	0	0	0	1	0	1	1	0	0	0
Integration	Bi-directional Sync	0	0	1	1	0	0	0	0	1	0
Integration	Most Estimating Platforms	0	0	0	0	0	0	0	0	0	1
Integration	Sync Frequency Definition	0	0	1	0	0	0	0	0	0	0
Integration	Unlimited Custom Objects	0	0	1	0	0	1	0	0	0	0
Reporting	AIA Completion Reporting	0	0	0	0	0	0	0	0	0	1
Reporting	Custom Dashboards	0	0	1	1	0	1	0	0	0	1
Reporting	Custom Reports	0	0	1	0	0	1	1	0	1	0
Reporting	Daily Profitability Report	0	0	0	0	0	0	0	0	0	1
Reporting	Employee Efficiency Reporting	0	0	0	0	0	0	0	0	0	1
Reporting	Exportable Reports	0	1	1	0	0	1	0	0	0	0
Reporting	Regulatory	0	0	0	0	0	0	0	0	1	0
