feature_group	feature	Emque	Evoco Fuze	VirtualBoss	ECL Software CMIS	eSUB Construction Software	PlansandSpecs	CoreMan Technology	VPO	Jonas Premier	Bolt Subcontractor Software
Functionality	Estimating	1	1	0	1	1	0	1	1	1	1
Functionality	Accounting	1	1	0	1	1	0	1	1	1	1
Functionality	Project Management	1	1	1	1	1	1	1	1	1	1
Project Management Features	Bidding	0	1	0	1	0	1	1	1	1	0
Project Management Features	Change Orders	0	1	0	1	1	1	0	1	1	1
Project Management Features	Contract Management	0	1	1	1	1	1	1	1	1	1
Project Management Features	Cost Management	0	0	0	1	1	1	1	0	1	1
Project Management Features	Daily Log	0	1	1	1	1	1	0	1	1	1
Project Management Features	Equipment Management	0	0	0	1	1	0	0	0	1	1
Project Management Features	Facility Management	0	1	0	1	0	0	0	1	1	1
Project Management Features	Gantt Chart Master Schedule	0	0	0	0	0	0	1	0	0	0
Project Management Features	Procurement	0	0	0	0	1	0	0	1	1	0
Project Management Features	Punch List	0	1	1	1	1	1	0	1	1	1
Project Management Features	RFIs/Submittals	0	0	0	1	1	1	0	1	1	0
Project Management Features	Timecard	0	0	0	1	1	0	0	0	1	1
Project Management Features	Document Management	1	1	1	1	1	1	1	1	1	1
Project Management Features	Scheduling	1	1	1	1	1	1	1	1	1	1
Estimating Features	"What-if" Analysis	1	0	0	1	1	0	0	1	0	0
Estimating Features	3D Takeoff	1	0	0	0	0	0	0	0	0	0
Estimating Features	Bid Comparison	0	1	0	1	0	0	1	1	0	0
Estimating Features	BIM Integration	0	0	0	0	0	0	0	0	1	0
Estimating Features	Conceptual Estimates	0	1	0	1	0	0	0	0	0	0
Estimating Features	Cost Database	0	1	0	1	1	1	1	0	1	0
Estimating Features	Digitizer Integration	0	0	0	1	0	0	0	0	0	0
Estimating Features	Excel/PDF File Import	0	1	0	1	1	0	0	0	1	0
Estimating Features	Item List	0	0	0	1	1	0	0	1	1	1
Estimating Features	On-Screen Takeoff	0	0	0	1	0	0	0	0	1	1
Estimating Features	Proposal Generator	0	0	0	1	0	0	1	0	1	0
Accounting Features	Accounts Payable	1	0	0	1	0	0	0	0	1	1
Accounting Features	Accounts Receivable	1	0	0	1	0	0	0	0	1	1
Accounting Features	AIA Billing	0	0	0	1	1	0	0	0	1	1
Accounting Features	Bank Reconciliation	1	0	0	1	0	0	0	0	1	1
Accounting Features	Fixed Assets	0	0	0	1	0	0	0	0	1	1
Accounting Features	General Ledger	1	0	0	1	0	0	1	0	1	1
Accounting Features	Inventory Management	0	1	0	1	0	0	0	0	1	1
Accounting Features	Job Costing	1	1	1	1	1	1	1	0	1	1
Accounting Features	Materials Management	0	0	0	1	1	0	0	0	1	1
Accounting Features	Payroll Processing	1	0	0	1	1	0	0	0	1	1
Accounting Features	Purchase Order	1	1	0	1	1	0	1	0	1	1
Accounting Features	Time & Materials Billing	0	1	0	1	1	0	0	0	1	1
Service Management Features	Dispatch	0	0	0	0	0	0	0	0	0	1
Service Management Features	Inventory Management	0	0	1	1	0	0	0	0	1	0
Service Management Features	Service Contracts	0	0	1	1	0	1	1	0	0	1
Service Management Features	Service Quotes	0	0	0	0	0	0	1	0	0	1
Service Management Features	Work Orders	0	0	1	1	1	0	1	1	0	1
Integration	API for Custom Integrations	0	0	1	1	1	0	0	0	1	1
Integration	Automatic Field Mapping	0	0	0	0	1	0	0	0	1	0
Integration	Bi-directional Sync	0	0	0	1	0	0	0	0	1	0
Integration	Sync Frequency Definition	0	0	0	1	0	0	0	0	1	0
Integration	Unlimited Custom Objects	0	0	0	1	0	0	0	1	1	0
Reporting	Custom Dashboards	0	0	1	0	0	0	0	0	1	0
Reporting	Custom Reports	0	1	1	1	1	1	0	1	1	1
Reporting	Exportable Reports	0	0	1	0	1	0	0	0	1	1
Reporting	Permissions	0	0	0	0	1	0	0	0	1	1
Reporting	Regulatory	0	0	0	0	0	0	0	0	1	1
Reporting	User Actions	0	0	0	0	1	0	0	0	1	1
