feature_group	feature	Mechanical Contractors Solutions	Basepin Connect	BuilderPipe	BuilderTek	Craftsman Construction Contract Writer	Cadweb.net	Project Controller	attolist	Buildtools	Rapport3
Functionality	Estimating	1	1	0	0	0	0	1	0	1	0
Functionality	Accounting	1	0	1	0	1	0	1	0	0	1
Functionality	Project Management	1	1	1	1	1	1	1	1	1	1
Project Management Features	Bidding	0	0	0	0	0	0	0	0	1	0
Project Management Features	Change Orders	0	1	1	1	0	0	1	0	0	0
Project Management Features	Contract Management	0	0	0	1	1	1	1	0	1	0
Project Management Features	Cost Management	0	0	1	1	0	0	1	1	0	0
Project Management Features	Daily Log	0	1	1	1	0	0	1	1	1	1
Project Management Features	Document Management	1	1	1	1	0	1	1	1	1	0
Project Management Features	Equipment Management	0	0	0	0	0	0	1	0	1	0
Project Management Features	Facility Management	0	1	0	0	0	1	0	0	1	0
Project Management Features	Procurement	0	0	0	0	0	0	0	0	1	0
Project Management Features	Punch List	0	0	0	0	0	0	1	0	0	1
Project Management Features	RFIs/Submittals	0	0	0	0	0	0	1	1	1	0
Project Management Features	Scheduling	0	0	1	1	0	0	1	0	0	1
Project Management Features	Timecard	0	1	1	0	0	0	0	0	0	1
Estimating Features	Bid Comparison	0	0	0	0	0	0	0	0	1	0
Estimating Features	BIM Integration	0	1	0	0	0	0	0	1	0	0
Estimating Features	Cost Database	0	0	1	0	0	0	1	0	0	0
Estimating Features	Excel/PDF File Import	0	0	0	0	0	0	0	1	1	0
Estimating Features	Item List	0	0	1	0	0	0	1	0	0	0
Estimating Features	On-Screen Takeoff	1	0	0	0	0	0	0	0	0	0
Accounting Features	General Ledger	0	0	0	0	0	0	0	0	0	1
Accounting Features	Inventory Management	0	0	1	0	0	0	0	0	0	1
Accounting Features	Job Costing	0	0	1	0	1	0	0	0	0	1
Accounting Features	Materials Management	0	0	1	0	0	0	1	0	0	0
Accounting Features	Time & Materials Billing	1	0	0	0	0	0	0	0	0	0
Service Management Features	Work Orders	1	0	0	0	0	0	1	0	0	0
Integration	Unlimited Custom Objects	0	0	1	0	0	0	0	0	0	0
