feature_group	feature	SmartBid	Explorer Construction Management Software	Wendes HVAC Estimating Software	Sage Estimating	Sage 300 Construction and Real Estate	Sage 100 Contractor	iSqFt for General Contractors	WinEst	Best Bid Electrical Estimating	Trimble Accubid Enterprise Estimating
Functionality	Estimating	1	0	1	1	1	1	1	1	1	1
Functionality	Accounting	0	1	1	1	1	1	1	1	0	0
Functionality	Project Management	1	1	1	1	1	1	1	1	1	1
Project Management Features	Change Orders	0	1	1	0	1	1	0	0	1	1
Project Management Features	Contract Management	0	1	0	0	1	1	0	0	1	1
Project Management Features	Cost Management	0	0	1	1	1	1	0	1	0	1
Project Management Features	Daily Log	0	1	0	0	0	0	0	0	0	0
Project Management Features	Document Management	1	1	1	0	1	1	1	1	0	1
Project Management Features	Equipment Management	0	1	0	0	1	1	0	1	0	1
Project Management Features	Facility Management	0	0	0	0	0	0	0	1	0	1
Project Management Features	Gantt Chart Master Schedule	0	0	1	0	1	0	0	0	0	0
Project Management Features	Procurement	0	0	1	0	1	0	0	0	0	1
Project Management Features	Punch List	0	0	1	0	0	1	0	0	0	1
Project Management Features	RFIs/Submittals	1	1	1	0	1	1	0	0	1	1
Project Management Features	Scheduling	0	1	0	0	1	1	0	1	0	1
Project Management Features	Bidding	1	1	1	1	1	1	1	1	1	1
Estimating Features	"What-if" Analysis	0	0	0	1	0	0	0	1	0	1
Estimating Features	3D Takeoff	0	0	0	0	0	0	1	0	0	1
Estimating Features	Bid Comparison	1	1	1	1	1	1	1	1	0	0
Estimating Features	BIM Integration	0	0	1	1	0	0	0	1	0	1
Estimating Features	Conceptual Estimates	1	0	1	1	1	1	0	1	0	1
Estimating Features	Cost Database	0	0	1	1	1	1	0	1	0	0
Estimating Features	Digitizer Integration	0	0	1	1	0	0	0	1	0	1
Estimating Features	Excel/PDF File Import	0	0	1	0	0	0	0	0	0	1
Estimating Features	Item List	0	1	1	0	0	0	0	1	0	1
Estimating Features	On-Screen Takeoff	1	0	1	1	1	1	1	1	1	1
Estimating Features	Proposal Generator	0	0	0	1	0	0	0	0	0	0
Accounting Features	Accounts Payable	0	1	0	0	1	1	0	0	0	0
Accounting Features	Accounts Receivable	0	1	0	0	1	1	0	0	0	0
Accounting Features	AIA Billing	0	1	0	0	0	0	0	0	0	0
Accounting Features	Fixed Assets	0	1	0	0	1	1	0	0	0	0
Accounting Features	General Ledger	0	1	0	0	1	1	0	0	0	0
Accounting Features	Inventory Management	0	1	0	0	1	1	0	0	0	0
Accounting Features	Job Costing	0	1	1	1	1	1	1	1	0	0
Accounting Features	Materials Management	0	1	1	0	0	0	0	0	0	0
Accounting Features	Payroll Processing	0	1	0	0	1	1	0	0	0	0
Accounting Features	Purchase Order	0	1	0	0	1	1	0	0	0	0
Accounting Features	Time & Materials Billing	0	1	1	0	1	1	0	0	0	0
Service Management Features	Dispatch	0	1	0	0	1	1	0	0	0	1
Service Management Features	Inventory Management	0	1	0	0	1	1	0	0	0	1
Service Management Features	Service Contracts	0	1	0	0	1	1	0	0	0	1
Service Management Features	Service Quotes	0	0	0	0	1	1	0	0	0	0
Service Management Features	Work Orders	0	1	0	0	1	1	0	0	0	1
Integration	API for Custom Integrations	1	0	0	0	0	0	0	0	0	0
Integration	Automatic Field Mapping	0	0	0	0	1	0	0	0	0	0
Integration	Bi-directional Sync	0	1	0	0	0	0	0	0	0	0
Integration	Sync Frequency Definition	0	1	1	0	0	0	1	0	0	0
Integration	Unlimited Custom Objects	0	0	1	0	0	0	0	0	1	0
Reporting	Custom Dashboards	1	0	0	0	0	1	0	0	0	0
Reporting	Custom Reports	0	1	1	1	1	1	1	1	0	1
Reporting	Exportable Reports	1	0	0	0	0	0	0	0	0	1
Reporting	Permissions	1	0	0	0	0	0	0	0	0	0
Reporting	User Actions	1	0	0	0	0	0	0	0	0	0
