g	f	4D (4th Dimension)	ADABAS	Adaptive Server Enterprise	AllegroGraph	Apache Derby	CUBRID	DB2	Datacom	Empress	FileMaker	Firebird	FrontBase	Full Convert	HP NonStop SQL	HSQLDB	ITTIA DB SQL	InterBase	Invantive Query Tool	Linter	MariaDB	MarkLogic 	Microsoft Access	Microsoft SQL Server	Microsoft SQL Server Compact	MyDatabase	Nexusdb	NuoDB	Omnis Studio	OpenBase SQL	OpenEdge	OpenLink Virtuoso	Polyhedra	Postgres Advanced Server	R:Base	RDM Embedded	ScimoreDB	SmallSQL	Teradata	Valentina	VelocityDB	XtraBuild Designer	mSQL
Access Control	Audit		0.0			0.0	0.0	1.0		1.0	0.0	0.0	0.0			0.0		0.0	0.0	1.0	0.0	1.0		1.0	1.0	0.0	0.0		0.0		0.0	1.0	1.0		0.0	0.0	1.0	0.0	1.0	0.0	0.0		1.0
Access Control	Brute-force Protection		0.0		1.0				0.0	0.0		1.0						1.0	0.0	1.0		0.0	0.0	0.0	0.0	0.0				0.0	0.0	1.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	0.0		
Access Control	Enterprise Directory Compatibility		0.0		0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0			1.0		0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0		0.0	1.0	0.0	1.0	0.0		0.0	0.0	0.0	0.0	1.0	0.0	0.0		0.0
Access Control	Native Network Encryption		0.0		1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0			1.0		1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0		0.0	1.0	0.0	1.0	1.0		0.0	0.0	0.0	0.0	1.0	0.0	0.0		0.0
Access Control	Password Complexity Rules				1.0	0.0	0.0	1.0	0.0		1.0		0.0	0.0		1.0	0.0		0.0	1.0	1.0	1.0	0.0	1.0		0.0	0.0	0.0	0.0	0.0		1.0			0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0
Access Control	Patch Access		0.0			0.0	0.0	0.0		1.0	0.0	1.0	0.0			1.0		0.0			1.0	0.0		1.0	1.0	0.0	0.0		0.0		0.0	0.0	0.0		0.0	0.0			0.0	0.0	0.0		0.0
Access Control	Resource Limit		0.0			0.0	0.0	1.0		0.0	0.0	0.0	1.0	0.0		0.0	1.0	0.0	0.0	1.0	0.0	0.0		1.0	1.0	0.0	0.0	0.0	0.0		0.0	1.0	1.0		0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0
Access Control	Run Unprivileged		0.0			0.0	0.0	1.0		1.0	0.0	1.0	0.0			1.0		0.0	0.0	1.0	1.0	0.0		1.0	1.0	0.0	0.0		0.0		0.0	0.0	1.0		0.0	1.0	1.0	0.0	1.0	0.0	0.0		0.0
Access Control	Security Certification				1.0	0.0	0.0	1.0	0.0		0.0		0.0		1.0	0.0			0.0	1.0	0.0	1.0	0.0	1.0		0.0	0.0		0.0	0.0		0.0		0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0		0.0
Access Control	Separation of Duties		0.0			0.0	0.0	1.0		1.0	0.0	0.0	0.0			1.0		1.0	0.0	1.0	0.0	0.0		1.0	0.0	0.0	0.0		0.0		0.0	1.0	1.0		0.0	0.0	1.0	0.0	1.0	0.0	0.0		0.0
