feature_group	feature	Masterworks	Apprise ERP	OMS ERP	SYSPRO ERP	Fishbowl Manufacturing	Blue Link ERP	Epicor WMS	Orderbot	SAP Business One	Focus i
CRM Features	Call Center Support	0	0	0	0	0	0	0	0	1	0
CRM Features	Contact Management	0	0	1	1	0	1	1	1	1	1
CRM Features	Estimating & Quoting	1	0	1	1	0	1	1	1	1	0
CRM Features	Help Desk	1	0	0	0	0	0	0	1	1	0
CRM Features	Order Management	1	0	1	1	1	1	1	1	1	1
CRM Features	Sales Force Automation	1	1	1	1	1	1	1	1	0	1
Procurement Management Features	Bid Management	0	0	0	0	0	0	0	0	0	1
Procurement Management Features	Drop Shipments	0	0	1	0	1	1	0	0	0	0
Procurement Management Features	Purchase Requests	0	0	0	1	1	0	1	1	1	1
Procurement Management Features	Purchase Scheduling	0	0	0	1	0	0	1	1	0	1
Procurement Management Features	Vendor Management	0	0	1	0	1	1	1	0	1	0
Procurement Management Features	Purchase Orders	1	1	1	1	1	1	1	1	1	1
Financial Features	Accounts Payable	1	1	1	1	0	1	1	0	1	1
Financial Features	Accounts Receivable	1	1	1	1	0	1	1	0	1	1
Financial Features	Accrual Based Accounting	0	0	0	1	0	1	0	0	0	0
Financial Features	Analytic Accounting	0	0	0	0	0	1	1	0	1	1
Financial Features	Bank Reconciliation	1	0	1	1	0	1	0	0	1	0
Financial Features	Billing and Invoicing	1	0	1	1	0	1	1	0	0	1
Financial Features	Budgeting and Forecasting	1	0	0	1	0	0	0	0	0	1
Financial Features	Fixed Assets	1	0	0	1	0	0	1	0	0	1
Financial Features	Multinational Accounting	0	0	0	1	0	1	0	0	0	1
Financial Features	Payroll	1	0	0	0	0	1	0	0	0	1
Financial Features	Project Accounting	0	0	1	0	0	1	0	0	1	0
Financial Features	Tax Preparation	0	1	0	1	0	1	0	0	0	0
Warehouse Management Features	Loading	0	1	1	1	0	0	1	0	0	0
Warehouse Management Features	Packing	1	1	1	1	1	1	1	0	0	0
Warehouse Management Features	Picking	1	1	1	1	1	1	1	0	0	0
Warehouse Management Features	Put-Away	1	1	1	1	0	1	0	0	0	1
Warehouse Management Features	Receiving	1	1	1	1	1	1	0	0	0	0
Warehouse Management Features	Shipping	1	1	1	1	1	1	1	1	0	1
Manufacturing Features	Bill of Materials	0	0	1	1	1	1	1	0	0	1
Manufacturing Features	Capacity Management	0	0	1	0	1	0	1	0	0	1
Manufacturing Features	Cost Management	0	1	1	0	1	1	1	0	1	0
Manufacturing Features	Manufacturing Planning	0	1	1	1	1	0	1	0	1	1
Manufacturing Features	Manufacturing Projects	0	0	1	0	1	1	1	0	0	0
Manufacturing Features	Manufacturing Scheduling	0	1	1	1	1	0	1	0	0	1
Manufacturing Features	MRP	0	1	1	1	0	0	0	0	1	1
Manufacturing Features	Product Data Collection	0	0	1	0	0	1	1	0	1	1
Manufacturing Features	Quality Management	0	0	1	0	0	0	1	1	0	0
Manufacturing Features	Shop Floor Control	0	0	1	1	0	0	0	0	0	0
Inventory Management Features	Inventory Availability	1	1	1	1	0	1	1	1	1	1
Inventory Management Features	Inventory Costs	1	1	1	1	0	0	0	1	1	1
Inventory Management Features	Inventory Forecasting	0	1	1	0	1	0	1	1	1	0
Inventory Management Features	Inventory Location Management	1	1	1	1	1	1	1	1	0	0
Inventory Management Features	Inventory Replenishment	1	0	1	1	1	1	0	0	0	1
Inventory Management Features	Lot and Serial Numbering	1	1	1	1	1	1	1	0	0	0
Inventory Management Features	Multiple Warehouses	1	0	1	1	1	1	0	1	1	1
