feature_group	feature	Thyme Software	TSEFS -Distributor	UAS	Xebra	Inventory Traker	Exact Max ERP	Logix	FASCOR WMS	Minotaur business system	FlexGen 4-AE
Main Functionality	CRM	1	1	1	1	0	1	0	0	0	1
Main Functionality	Procurement Management	1	1	1	1	1	1	0	1	1	1
Main Functionality	Financial Management	1	1	1	1	1	1	0	0	1	1
Main Functionality	Warehouse Management	1	1	0	1	1	1	1	1	1	0
Main Functionality	Manufacturing Management	1	1	1	0	1	1	1	1	1	1
Main Functionality	Reporting	1	1	1	1	1	0	1	1	1	1
Main Functionality	Inventory Management	1	1	1	1	1	1	1	1	1	1
CRM Features	Call Center Support	1	0	0	1	0	0	0	0	0	1
CRM Features	Contact Management	1	1	1	1	0	1	0	0	1	1
CRM Features	Estimating & Quoting	0	0	0	1	0	1	0	0	0	1
CRM Features	Help Desk	1	1	0	1	0	0	0	0	0	1
CRM Features	Order Management	1	1	1	1	0	1	0	1	0	0
CRM Features	Sales Force Automation	0	0	0	0	0	0	0	0	0	1
Procurement Management Features	Drop Shipments	0	0	1	0	0	1	0	0	0	0
Procurement Management Features	Purchase Orders	1	1	1	1	1	1	0	1	1	1
Procurement Management Features	Purchase Requests	1	1	0	0	1	1	0	0	1	1
Procurement Management Features	Purchase Scheduling	1	1	0	0	0	1	0	1	1	1
Procurement Management Features	Vendor Management	0	0	0	0	0	0	0	0	0	1
Financial Features	Accounts Payable	1	1	1	1	0	1	0	0	1	1
Financial Features	Accounts Receivable	1	1	1	1	0	1	0	0	1	1
Financial Features	Analytic Accounting	0	1	0	0	1	0	0	0	1	1
Financial Features	Bank Reconciliation	1	1	0	1	0	1	0	0	1	0
Financial Features	Billing and Invoicing	0	1	1	1	1	1	0	0	1	1
Financial Features	Budgeting and Forecasting	0	1	0	0	0	0	0	0	0	0
Financial Features	Fixed Assets	0	0	0	0	0	0	0	0	1	1
Financial Features	Payroll	0	1	0	0	0	0	0	0	1	1
Financial Features	Project Accounting	1	1	0	1	0	0	0	0	1	0
Warehouse Management Features	Loading	0	1	0	0	0	0	0	1	0	0
Warehouse Management Features	Packing	1	0	1	1	0	0	0	1	0	0
Warehouse Management Features	Picking	0	0	0	0	1	1	0	1	1	0
Warehouse Management Features	Put-Away	0	0	0	0	0	0	1	1	0	0
Warehouse Management Features	Receiving	1	1	0	0	1	0	0	1	1	1
Warehouse Management Features	Shipping	1	0	1	1	1	1	1	1	1	1
Manufacturing Features	Bill of Materials	0	1	1	1	1	1	0	0	1	1
Manufacturing Features	Capacity Management	1	0	0	0	0	0	0	0	0	0
Manufacturing Features	Cost Management	0	0	1	0	0	1	0	0	1	1
Manufacturing Features	Manufacturing Planning	0	0	0	0	0	0	0	1	1	1
Manufacturing Features	Manufacturing Projects	0	1	0	0	0	0	0	1	0	1
Manufacturing Features	Manufacturing Scheduling	0	0	0	0	0	0	0	0	0	1
Manufacturing Features	MRP	0	0	0	0	0	0	0	0	0	1
Manufacturing Features	Product Data Collection	0	0	0	0	0	0	0	1	1	0
Manufacturing Features	Quality Management	0	0	0	0	0	1	0	1	0	0
Manufacturing Features	Shop Floor Control	0	0	0	0	0	1	0	0	0	0
Inventory Management Features	Inventory Availability	1	1	0	1	1	1	1	1	1	1
Inventory Management Features	Inventory Costs	0	1	1	0	1	1	1	0	0	0
Inventory Management Features	Inventory Forecasting	0	0	0	1	0	0	0	0	0	0
Inventory Management Features	Inventory Location Management	0	0	0	0	0	0	1	1	1	1
Inventory Management Features	Inventory Replenishment	0	0	1	0	0	0	0	1	0	0
Inventory Management Features	Lot and Serial Numbering	0	0	1	0	1	1	0	1	1	1
Inventory Management Features	Multiple Warehouses	0	1	0	0	1	0	1	1	1	0
