feature_group	feature	Synergy ERP	Paradox Routing Tool	Mobile Logic	Passport WMS	PRPsolutions	RoutingGuides.com	SERIES 3 Distribution	ShipCompliant	Terminal Automation System	ENAVATE’s Advanced Distribution
Main Functionality	CRM	1	0	1	1	1	1	0	1	1	1
Main Functionality	Financial Management	1	0	0	0	1	1	1	0	1	1
Main Functionality	Warehouse Management	1	1	0	1	0	1	1	1	1	1
Main Functionality	Manufacturing Management	1	1	1	1	1	1	0	0	1	1
Main Functionality	Inventory Management	1	1	0	1	1	0	1	0	1	0
Main Functionality	Procurement Management	1	1	1	1	1	1	1	1	1	1
Main Functionality	Reporting	1	1	1	1	1	1	1	1	1	1
CRM Features	Call Center Support	1	0	0	0	0	1	0	0	1	1
CRM Features	Contact Management	1	0	1	1	1	1	0	1	1	1
CRM Features	Estimating & Quoting	0	0	0	0	1	0	0	0	0	0
CRM Features	Help Desk	1	0	1	1	0	1	0	0	1	1
CRM Features	Order Management	1	0	0	1	1	1	0	1	1	1
CRM Features	Sales Force Automation	0	0	0	1	1	0	0	0	0	0
Procurement Management Features	Bid Management	0	0	0	0	0	1	0	0	0	1
Procurement Management Features	Drop Shipments	0	1	0	0	1	0	0	0	0	0
Procurement Management Features	Purchase Orders	1	1	0	1	1	0	1	1	0	1
Procurement Management Features	Purchase Requests	1	1	0	1	0	0	1	1	0	1
Procurement Management Features	Purchase Scheduling	1	1	1	1	0	0	1	0	1	1
Procurement Management Features	Vendor Management	1	0	1	1	0	1	0	0	0	0
Financial Features	Accounts Payable	1	0	0	0	1	1	1	0	1	1
Financial Features	Accounts Receivable	1	0	0	0	1	1	1	0	1	1
Financial Features	Analytic Accounting	0	0	0	0	0	0	1	0	1	0
Financial Features	Billing and Invoicing	1	0	0	0	1	1	0	0	1	1
Financial Features	Budgeting and Forecasting	1	0	0	0	0	0	1	0	0	1
Financial Features	Fixed Assets	0	0	0	0	0	0	1	0	0	0
Financial Features	Payroll	0	0	0	0	1	0	1	0	0	0
Financial Features	Project Accounting	0	0	0	0	0	0	1	0	1	0
Warehouse Management Features	Loading	1	1	0	0	0	0	1	0	1	0
Warehouse Management Features	Packing	1	1	0	1	0	1	1	0	0	1
Warehouse Management Features	Picking	1	0	0	1	0	0	0	0	0	1
Warehouse Management Features	Put-Away	0	0	0	1	0	0	0	0	0	1
Warehouse Management Features	Receiving	1	1	0	1	0	1	1	1	1	1
Warehouse Management Features	Shipping	1	1	0	1	0	1	1	1	0	1
Manufacturing Features	Bill of Materials	0	1	0	0	1	1	0	0	0	0
Manufacturing Features	Cost Management	1	1	1	1	1	1	0	0	0	1
Manufacturing Features	Manufacturing Planning	0	1	0	1	0	1	0	0	1	0
Manufacturing Features	Manufacturing Projects	0	0	0	1	1	1	0	0	1	0
Manufacturing Features	Manufacturing Scheduling	0	1	0	0	0	0	0	0	1	0
Manufacturing Features	MRP	0	0	0	0	0	1	0	0	0	0
Manufacturing Features	Product Data Collection	0	1	1	1	1	0	0	0	0	0
Manufacturing Features	Quality Management	0	1	0	1	0	0	0	0	0	0
Inventory Management Features	Inventory Availability	1	1	0	1	1	0	1	0	0	0
Inventory Management Features	Inventory Costs	0	0	0	1	1	0	1	0	0	0
Inventory Management Features	Inventory Forecasting	0	0	0	0	1	0	0	0	0	0
Inventory Management Features	Inventory Location Management	1	1	0	1	1	0	0	0	0	0
Inventory Management Features	Inventory Replenishment	0	0	0	0	1	0	0	0	0	0
Inventory Management Features	Lot and Serial Numbering	0	0	0	1	0	0	0	0	0	0
Inventory Management Features	Multiple Warehouses	0	0	0	0	1	0	1	0	1	0
