feature_group	feature	eBizNET	Electronic Parts Distribution System (ePDS)	eWholesale	Zentail	inconsoWMS eXtended	InsiteShip	BluJay Solutions	LMX Systems	MobilePDQ	Next for Windows
Main Functionality	Procurement Management	1	1	1	1	1	1	1	0	0	1
Main Functionality	Financial Management	0	1	1	0	1	0	1	1	1	1
Main Functionality	Manufacturing Management	1	0	1	0	1	1	0	0	1	0
Main Functionality	Inventory Management	1	1	1	1	1	1	1	0	1	1
Main Functionality	Reporting	0	1	1	0	1	0	0	0	1	1
Main Functionality	CRM	1	1	1	1	1	1	1	1	1	1
Main Functionality	Warehouse Management	1	1	1	1	1	1	1	1	1	1
CRM Features	Call Center Support	0	0	1	0	0	0	0	0	0	0
CRM Features	Contact Management	1	1	1	1	0	0	1	1	0	1
CRM Features	Estimating & Quoting	0	1	1	0	0	1	0	1	0	1
CRM Features	Help Desk	0	0	0	0	0	0	0	0	1	1
CRM Features	Order Management	1	1	1	1	1	1	1	0	1	1
CRM Features	Sales Force Automation	0	0	0	1	0	0	0	0	0	1
Procurement Management Features	Drop Shipments	0	1	1	0	1	1	1	0	0	0
Procurement Management Features	Purchase Orders	1	1	1	1	1	1	1	0	0	1
Procurement Management Features	Purchase Requests	0	1	1	1	0	0	0	0	0	0
Procurement Management Features	Purchase Scheduling	0	1	1	0	0	0	0	0	0	0
Procurement Management Features	Vendor Management	1	0	0	0	0	0	1	0	0	0
Financial Features	Accounts Payable	0	1	1	0	0	0	0	0	0	1
Financial Features	Accounts Receivable	0	1	1	0	0	0	0	0	0	1
Financial Features	Analytic Accounting	0	1	0	0	0	0	0	0	0	0
Financial Features	Bank Reconciliation	0	1	1	0	0	0	0	0	0	0
Financial Features	Billing and Invoicing	0	0	1	0	1	0	1	1	1	1
Financial Features	Payroll	0	0	1	0	0	0	0	0	0	0
Financial Features	Tax Preparation	0	1	0	0	0	0	0	0	0	0
Warehouse Management Features	Loading	0	0	0	1	1	0	1	0	1	0
Warehouse Management Features	Packing	1	1	0	1	1	1	0	0	1	0
Warehouse Management Features	Picking	1	1	0	0	1	1	1	0	0	0
Warehouse Management Features	Put-Away	1	1	0	0	0	0	0	0	0	0
Warehouse Management Features	Receiving	1	1	0	0	1	0	0	0	0	1
Warehouse Management Features	Shipping	1	1	1	1	1	1	1	1	1	0
Manufacturing Features	Bill of Materials	1	0	1	0	0	0	0	0	0	0
Manufacturing Features	Capacity Management	1	0	1	0	0	0	0	0	0	0
Manufacturing Features	Cost Management	1	0	1	0	0	0	0	0	0	0
Manufacturing Features	Manufacturing Planning	1	0	1	0	0	0	0	0	0	0
Manufacturing Features	Manufacturing Projects	0	0	1	0	0	0	0	0	0	0
Manufacturing Features	Manufacturing Scheduling	0	0	1	0	0	0	0	0	0	0
Manufacturing Features	Product Data Collection	1	0	0	0	0	0	0	0	0	0
Manufacturing Features	Quality Management	0	0	0	0	1	0	0	0	0	0
Manufacturing Features	Shop Floor Control	0	0	1	0	0	0	0	0	0	0
Inventory Management Features	Inventory Availability	1	1	0	1	0	1	1	0	1	1
Inventory Management Features	Inventory Costs	0	1	1	0	0	0	0	0	0	0
Inventory Management Features	Inventory Location Management	1	1	1	0	1	0	0	0	1	0
Inventory Management Features	Inventory Replenishment	1	0	0	0	0	0	1	0	0	1
Inventory Management Features	Lot and Serial Numbering	1	0	1	0	0	1	0	0	0	0
Inventory Management Features	Multiple Warehouses	1	1	1	0	0	0	0	0	0	0
