feature_group	feature	abasDistribution	Synapse	bcFood	HighJump warehouse Advantage	Microsoft Dynamics NAV	Inventory Management	VFP Enterprise Business Series	Rootstock	PharmAssist	Sonic Fusion
Main Functionality	CRM	1	0	1	0	1	0	1	1	0	1
Main Functionality	Procurement Management	1	0	1	0	1	1	1	1	1	0
Main Functionality	Financial Management	1	0	1	1	1	0	1	1	1	0
Main Functionality	Warehouse Management	1	1	1	1	1	1	1	0	1	1
Main Functionality	Manufacturing Management	1	0	1	1	1	0	0	1	1	1
Main Functionality	Reporting	0	1	1	0	1	0	1	0	0	1
Main Functionality	Inventory Management	1	1	1	1	1	1	1	1	1	1
CRM Features	Call Center Support	0	0	0	0	0	0	0	0	0	1
CRM Features	Contact Management	1	0	1	0	1	0	1	0	1	1
CRM Features	Estimating & Quoting	1	0	1	0	0	0	1	0	0	1
CRM Features	Help Desk	0	0	0	0	1	0	0	0	0	1
CRM Features	Order Management	1	0	1	0	1	0	1	1	1	1
CRM Features	Sales Force Automation	1	0	0	0	0	0	0	0	0	1
Procurement Management Features	Bid Management	0	0	0	0	0	0	0	0	0	1
Procurement Management Features	Drop Shipments	0	0	0	0	0	0	0	0	0	1
Procurement Management Features	Purchase Orders	1	0	1	0	1	1	1	1	1	1
Procurement Management Features	Purchase Requests	1	0	1	0	0	1	0	0	1	1
Procurement Management Features	Purchase Scheduling	1	0	1	0	0	1	0	0	0	1
Procurement Management Features	Vendor Management	1	0	0	0	0	0	0	0	1	1
Financial Features	Accounts Payable	1	0	1	0	1	0	1	1	1	0
Financial Features	Accounts Receivable	1	0	1	0	1	0	1	1	1	0
Financial Features	Accrual Based Accounting	1	0	0	0	0	0	0	0	1	0
Financial Features	Analytic Accounting	1	0	0	0	0	0	0	0	0	0
Financial Features	Bank Reconciliation	0	0	0	0	1	0	1	1	1	0
Financial Features	Billing and Invoicing	1	0	0	1	1	0	1	1	1	1
Financial Features	Budgeting and Forecasting	0	0	1	0	1	0	0	0	1	0
Financial Features	Fixed Assets	1	0	1	0	1	0	0	0	0	0
Financial Features	Payroll	0	0	1	0	0	0	1	0	0	0
Financial Features	Project Accounting	0	0	1	0	0	0	0	0	0	0
Financial Features	Tax Preparation	0	0	0	0	1	0	0	0	1	0
Warehouse Management Features	Loading	1	0	1	1	0	0	0	0	1	1
Warehouse Management Features	Packing	1	1	0	1	0	0	1	0	1	1
Warehouse Management Features	Picking	0	1	1	1	1	0	1	0	1	1
Warehouse Management Features	Put-Away	0	0	1	1	0	0	1	0	1	1
Warehouse Management Features	Receiving	0	1	1	1	0	1	1	0	1	1
Warehouse Management Features	Shipping	1	1	1	1	1	1	1	0	0	1
Manufacturing Features	Bill of Materials	1	0	1	1	0	0	0	1	1	1
Manufacturing Features	Capacity Management	1	0	1	0	1	0	0	0	0	0
Manufacturing Features	Cost Management	1	0	0	1	0	0	0	1	1	0
Manufacturing Features	Manufacturing Planning	1	0	1	1	1	0	0	1	0	1
Manufacturing Features	Manufacturing Projects	0	0	0	0	0	0	0	1	0	0
Manufacturing Features	Manufacturing Scheduling	1	0	1	1	0	0	0	0	0	0
Manufacturing Features	MRP	1	0	1	0	0	0	0	0	0	1
Manufacturing Features	Quality Management	1	0	0	0	0	0	0	0	0	0
Manufacturing Features	Shop Floor Control	1	0	0	0	0	0	0	0	0	1
Inventory Management Features	Inventory Availability	0	1	1	1	1	1	0	0	1	1
Inventory Management Features	Inventory Costs	1	0	0	0	0	1	0	1	1	1
Inventory Management Features	Inventory Forecasting	1	0	0	0	1	1	0	0	0	1
Inventory Management Features	Inventory Location Management	1	1	1	0	0	0	0	1	1	1
Inventory Management Features	Inventory Replenishment	0	0	1	1	0	1	0	1	1	1
Inventory Management Features	Lot and Serial Numbering	1	0	1	0	0	0	0	1	0	1
Inventory Management Features	Multiple Warehouses	1	1	1	0	1	1	0	1	0	1
