feature_group	feature	IA	Shopsite	OrderDynamics	Shopping Cart Assistant	StoreFront Ecommerce Shopping Cart	TotalBusinessCart	Vendo	WebJaguar	webShaper	nopCommerce
Features	Add Product Attributes	1	1	1	1	0	1	0	0	1	1
Features	Affiliates Program	0	0	0	0	0	1	0	0	0	1
Features	Content Management	1	1	1	1	0	1	0	1	1	1
Features	Customer Registration	1	1	1	1	0	1	0	1	1	1
Features	Design Features	1	1	1	1	0	1	0	1	1	1
Features	Digital Goods	0	1	0	0	0	1	0	0	0	1
Features	Email When Sale is Made	1	1	1	1	0	1	1	1	0	1
Features	Inventory Reports	1	1	1	1	0	0	0	1	1	1
Features	Low Stock Alerts	1	0	0	0	1	0	0	0	0	1
Features	Mobile User Interface	0	0	1	0	0	0	0	0	1	1
Features	Multi-Store Support	0	0	0	0	0	0	0	0	0	1
Features	Newsletters	1	1	0	0	0	1	0	1	0	1
Features	One Page Checkout	1	0	1	0	0	0	0	0	0	1
Features	Product Reviews	0	0	0	0	0	0	0	0	0	1
Features	Sales Reports	1	0	0	0	0	1	0	0	0	0
Features	Search Engine Optimization Tools	1	0	0	0	1	0	0	1	0	1
Features	Site Search	0	0	0	0	0	0	0	1	0	1
Features	SSL Support	0	0	0	0	1	0	0	0	0	1
Features	Unlimited Products	1	1	0	0	1	0	1	0	0	1
Features	Wish List	0	1	0	0	1	0	1	0	0	1
SEO and Design Features	Auto-Generated Sitemaps	0	0	0	0	0	1	0	1	0	1
SEO and Design Features	Breadcrumb Navigation	0	0	0	0	0	0	0	1	0	1
SEO and Design Features	Bulk Image Upload	0	0	1	1	0	0	0	0	1	1
SEO and Design Features	Bulk Product Import/Export	1	0	0	0	0	0	0	0	0	1
SEO and Design Features	Custom SEO Tags	1	1	1	1	0	1	0	0	1	1
SEO and Design Features	Drag and Drop Design	1	1	1	0	1	0	0	0	1	1
SEO and Design Features	Modifiable HTML/CSS	1	1	0	0	0	0	1	1	0	0
SEO and Design Features	No Programming Necessary	0	0	0	0	0	0	0	0	1	0
SEO and Design Features	Optimized URLs	0	1	0	0	0	0	0	0	0	1
SEO and Design Features	Site Templates	1	1	0	1	0	0	1	1	1	0
SEO and Design Features	Store/Product Subcategories	1	0	0	0	1	0	0	0	0	1
SEO and Design Features	Unlimited Store/Product Categories	1	1	0	0	0	0	0	0	0	1
SEO and Design Features	WYSIWYG Editor	0	0	0	0	0	0	1	0	0	0
Customer Management Features	Abandonment Tracking	0	0	1	1	0	1	0	1	1	0
Customer Management Features	Customer Account Creation	1	1	1	1	0	1	0	1	1	1
Customer Management Features	Customer Order History	1	1	1	1	0	1	0	1	1	1
Customer Management Features	Customer Profiles	1	1	1	1	0	1	0	1	1	1
Customer Management Features	Customer Specific Offers	1	1	0	0	0	0	0	1	1	1
Customer Management Features	Support Desk	0	0	0	0	0	0	0	0	0	1
Shipping Features	Custom Shipping Rules	1	1	0	1	0	1	0	1	0	1
Shipping Features	Drop Shipping	1	0	0	0	0	0	0	0	0	0
Shipping Features	Fedex Price Lookup	0	0	0	1	1	0	0	0	0	1
Shipping Features	Flat Rate Shipping	0	1	0	1	0	0	0	0	0	0
Shipping Features	Label Printing	0	0	1	1	0	1	0	0	1	1
Shipping Features	Product Specific Tax Rules	1	0	0	0	0	0	0	0	0	0
Shipping Features	Real Time Package Tracking	1	0	0	1	0	1	0	0	1	1
Shipping Features	Shipping Automation	0	0	0	0	0	0	0	0	1	0
Shipping Features	Shipping by Location	1	0	0	1	0	1	0	0	0	1
Shipping Features	Shipping Price Calculator	0	0	0	0	0	0	1	0	0	0
Shipping Features	Tax by Country	0	1	0	0	1	0	0	0	0	1
Shipping Features	Tax by State	0	1	0	0	1	0	0	0	0	1
Shipping Features	UPS Price Lookup	0	1	0	1	1	0	0	0	0	1
Shipping Features	USPS Price Lookup	0	1	0	0	1	0	0	0	0	1
Shipping Features	Weight Based Shipping	1	0	0	0	0	0	0	0	0	0
Hosting and Security Features	PCI Compliance	1	0	0	0	0	0	0	0	0	1
Hosting and Security Features	Shared SSL	0	1	0	0	0	0	0	0	0	0
