feature_group	feature	easystorehosting	eCartsoft	eCatalog Order	Captures	Cart66	CartGenie	CoreCommerce	Cow Command	Loaded Pro	Custom Cart
SEO and Design Features	Auto-Generated Sitemaps	1	0	0	1	0	1	0	1	0	1
SEO and Design Features	Breadcrumb Navigation	1	0	0	0	0	1	0	1	0	0
SEO and Design Features	Bulk Image Upload	1	0	1	1	1	1	0	0	0	1
SEO and Design Features	Bulk Product Import/Export	1	0	0	1	0	0	1	1	1	1
SEO and Design Features	Custom SEO Tags	1	0	0	0	1	1	1	1	1	0
SEO and Design Features	Dedicated IP Address	0	1	0	0	0	0	0	0	1	0
SEO and Design Features	Drag and Drop Design	0	0	0	1	0	1	0	0	0	0
SEO and Design Features	Modifiable HTML/CSS	1	1	0	1	1	1	1	0	1	1
SEO and Design Features	No Graphic Design Necessary	0	0	0	0	0	0	1	0	0	0
SEO and Design Features	No Programming Necessary	1	0	1	0	0	0	1	0	0	1
SEO and Design Features	Optimized URLs	0	1	0	1	0	1	1	1	1	1
SEO and Design Features	Site Templates	1	0	0	1	0	1	1	1	1	0
SEO and Design Features	Store/Product Subcategories	0	0	1	1	0	1	0	1	0	1
SEO and Design Features	Unlimited Store/Product Categories	1	0	1	1	0	1	0	1	1	1
SEO and Design Features	WYSIWYG Editor	0	0	0	0	0	0	0	0	1	0
Customer Management Features	Abandonment Tracking	0	1	0	0	0	1	1	0	1	1
Customer Management Features	Call Logs	0	0	0	0	0	0	1	0	0	0
Customer Management Features	Customer Account Creation	1	1	0	1	1	1	1	1	1	1
Customer Management Features	Customer Contact List	1	0	0	0	1	1	0	0	0	0
Customer Management Features	Customer Profiles	1	1	0	0	1	1	0	0	1	1
Customer Management Features	Customer Specific Offers	1	0	0	1	0	1	1	0	1	1
Customer Management Features	Support Desk	1	0	1	0	1	1	1	1	1	1
Customer Management Features	Customer Order History	1	1	1	1	1	1	1	1	1	1
Shipping Features	Custom Shipping Rules	0	0	0	1	1	1	1	1	0	1
Shipping Features	Drop Shipping	0	1	0	1	1	0	0	0	1	0
Shipping Features	Fedex Price Lookup	1	1	1	0	1	1	1	1	1	0
Shipping Features	Flat Rate Shipping	1	1	0	0	1	0	1	0	0	1
Shipping Features	Heavy Freight Shipping	0	0	0	0	0	1	0	1	0	1
Shipping Features	International Postage Fee Lookup	1	1	0	0	0	0	0	0	0	0
Shipping Features	Label Printing	0	1	0	0	1	1	1	0	0	0
Shipping Features	Live Rate Shipping	1	0	0	0	1	0	1	0	1	0
Shipping Features	Product Specific Tax Rules	0	0	0	1	0	1	0	0	0	0
Shipping Features	Real Time Package Tracking	0	1	0	1	0	1	0	0	1	0
Shipping Features	Shipping by Location	1	1	0	1	0	1	1	0	0	1
Shipping Features	Shipping Insurance	0	0	0	0	0	1	0	0	0	0
Shipping Features	Shipping Price Calculator	0	1	1	1	0	1	0	1	1	1
Shipping Features	Shipping Weight Calculator	0	1	0	0	0	0	0	0	0	0
Shipping Features	Tax by Country	0	1	1	1	0	1	0	0	1	1
Shipping Features	Tax by State	0	1	1	1	1	1	0	0	1	1
Shipping Features	UPS Price Lookup	1	1	1	0	1	1	1	1	1	1
Shipping Features	USPS Price Lookup	1	1	1	0	1	1	1	0	1	1
Shipping Features	Weight Based Shipping	1	1	1	0	1	1	0	0	0	1
Hosting and Security Features	Daily Backup	1	0	0	1	1	0	1	0	0	1
Hosting and Security Features	Data Encryption	1	1	0	1	1	1	1	1	1	1
Hosting and Security Features	Database Caching	0	0	0	0	0	0	0	0	1	0
Hosting and Security Features	Firewall Protection	0	0	0	0	0	0	1	0	0	0
Hosting and Security Features	FTP Access	0	0	0	0	0	1	1	0	1	0
Hosting and Security Features	IP Blocking	0	0	0	0	0	0	1	0	0	0
Hosting and Security Features	PCI Compliance	0	0	0	0	1	1	1	1	1	0
Hosting and Security Features	Search Caching	0	1	0	0	0	0	0	0	0	0
Hosting and Security Features	Suspicious Activity Tracking	0	0	0	0	0	0	0	0	1	0
Hosting and Security Features	Shared SSL	1	1	1	1	1	1	1	1	1	1
