feature_group	feature	CloudNet360	Arastta	Shoprocket	Store Manager for Magento	MejiCart	Click2Sync	Watson Commerce	Sana Commerce
Features	Add Product Attributes	1	0	1	1	1	1	0	0
Features	Affiliates Program	1	1	0	0	0	0	0	0
Features	Category Limit	0	1	0	0	0	0	0	0
Features	Content Management	1	1	0	1	1	0	0	1
Features	Customer Registration	1	1	1	0	1	0	0	1
Features	Design Features	1	1	1	0	1	0	0	1
Features	Digital Goods	1	1	1	0	1	0	0	0
Features	Edit Customers	0	1	1	1	1	0	0	1
Features	Edit Product Order	0	1	1	1	1	0	0	1
Features	Email When Sale is Made	1	1	1	0	1	0	0	1
Features	Inventory Reports	1	1	1	0	1	1	0	1
Features	Low Stock Alerts	0	1	0	0	0	0	0	0
Features	Mobile User Interface	1	1	1	0	0	0	0	1
Features	Multi-Store Support	0	1	1	1	1	1	0	1
Features	Newsletters	1	1	0	0	1	0	0	1
Features	One Page Checkout	1	1	1	0	1	0	0	0
Features	Product Reviews	1	1	1	0	1	0	0	1
Features	Sales Reports	1	1	0	1	1	0	0	1
Features	Search Engine Optimization Tools	1	1	1	0	1	0	0	1
Features	Search Reports	0	1	0	0	1	0	0	0
Features	Site Search	0	1	0	0	1	0	0	1
Features	Spreadsheet Database Upload	0	0	0	1	1	1	0	0
Features	SSL Support	1	1	1	0	1	0	0	0
Features	Unlimited Products	1	1	1	0	1	1	0	1
Features	Wish List	1	1	0	0	1	0	0	1
SEO and Design Features	Auto-Generated Sitemaps	1	1	0	0	0	0	0	1
SEO and Design Features	Breadcrumb Navigation	0	1	1	0	1	0	0	1
SEO and Design Features	Bulk Image Upload	1	1	0	1	1	0	0	0
SEO and Design Features	Bulk Product Import/Export	1	1	0	1	1	1	0	0
SEO and Design Features	Custom SEO Tags	0	1	0	0	1	0	0	1
SEO and Design Features	Dedicated IP Address	0	1	0	0	1	0	0	0
SEO and Design Features	Drag and Drop Design	1	1	0	0	1	1	0	0
SEO and Design Features	Duplicate Content Checker	0	0	0	1	0	0	0	0
SEO and Design Features	Existing Site Migration	0	1	0	0	1	0	0	0
SEO and Design Features	Modifiable HTML/CSS	1	1	0	0	1	0	0	1
SEO and Design Features	No Graphic Design Necessary	0	1	0	0	1	0	0	1
SEO and Design Features	No Programming Necessary	0	1	0	0	1	1	0	1
SEO and Design Features	Optimized URLs	1	1	0	0	1	0	0	1
SEO and Design Features	Site Templates	1	1	0	0	1	0	0	1
SEO and Design Features	Store/Product Subcategories	1	1	0	0	1	1	0	1
SEO and Design Features	Unlimited Store/Product Categories	1	1	0	0	1	1	0	1
SEO and Design Features	WYSIWYG Editor	0	1	0	0	1	1	0	1
Customer Management Features	Abandonment Tracking	1	0	0	0	0	0	0	1
Customer Management Features	Call Logs	0	0	0	0	1	0	0	0
Customer Management Features	Customer Account Creation	1	1	0	1	0	0	0	1
Customer Management Features	Customer Contact List	1	0	0	1	1	0	0	1
Customer Management Features	Customer Order History	1	1	0	1	1	0	0	1
Customer Management Features	Customer Profiles	1	1	0	0	1	0	0	1
Customer Management Features	Customer Specific Offers	1	1	0	0	0	0	0	1
Customer Management Features	Support Desk	1	1	0	0	1	0	0	1
Shipping Features	Custom Shipping Rules	1	1	0	0	1	1	0	1
Shipping Features	Drop Shipping	0	1	0	1	1	1	0	1
Shipping Features	Fedex Price Lookup	1	0	0	0	0	0	0	1
Shipping Features	Flat Rate Shipping	1	1	0	0	0	0	0	1
Shipping Features	Heavy Freight Shipping	0	0	0	0	0	0	0	1
Shipping Features	International Postage Fee Lookup	0	0	0	0	0	0	0	1
Shipping Features	Label Printing	0	0	0	0	1	0	0	0
Shipping Features	Product Specific Tax Rules	1	1	0	0	0	0	0	1
Shipping Features	Real Time Package Tracking	1	0	0	0	0	0	0	1
Shipping Features	Shipping by Location	0	1	0	0	0	0	0	1
Shipping Features	Shipping Price Calculator	1	1	0	0	0	0	0	1
Shipping Features	Shipping Weight Calculator	0	1	0	0	0	0	0	1
Shipping Features	Tax by Country	0	1	0	0	0	0	0	1
Shipping Features	Tax by State	0	1	0	0	1	0	0	1
Shipping Features	UPS Price Lookup	1	0	0	0	0	0	0	1
Shipping Features	USPS Price Lookup	1	0	0	1	0	0	0	1
Shipping Features	Weight Based Shipping	0	1	0	0	0	0	0	1
Hosting and Security Features	Antivirus	0	0	0	0	0	0	0	1
Hosting and Security Features	Daily Backup	1	0	0	1	0	0	0	1
Hosting and Security Features	Data Encryption	1	0	0	0	1	1	0	1
Hosting and Security Features	Database Caching	0	0	0	0	0	1	0	1
Hosting and Security Features	Dedicated SSL	0	0	0	0	1	0	0	0
Hosting and Security Features	Firewall Protection	0	1	0	0	0	0	0	1
Hosting and Security Features	FTP Access	0	0	0	1	1	1	0	0
Hosting and Security Features	IP Blocking	0	0	0	0	1	0	0	0
Hosting and Security Features	PCI Compliance	1	0	0	0	0	0	0	0
Hosting and Security Features	Performance Benchmarking	0	0	0	0	0	1	0	0
Hosting and Security Features	Redundant DNS	0	0	0	0	1	0	0	0
Hosting and Security Features	Shared SSL	1	0	0	0	1	0	0	0
