feature_group	feature	Bluepark	1ShoppingCart	.netCART	Jugem Cart	KingCart	LemonStand	Miscake	Veracart	VP-ASP Shopping Cart	Wazala
Features	Add Product Attributes	1	1	1	1	0	1	1	1	1	1
Features	Affiliates Program	1	1	1	0	1	1	0	1	1	1
Features	Category Limit	0	0	0	1	0	0	0	0	0	0
Features	Content Management	1	1	1	1	0	1	0	1	1	1
Features	Customer Registration	0	1	1	1	1	1	1	1	1	1
Features	Digital Goods	0	1	1	1	1	1	1	1	1	1
Features	Edit Customers	0	1	1	1	1	0	0	0	1	0
Features	Edit Product Order	1	1	1	0	1	0	0	0	1	0
Features	Email When Sale is Made	1	1	0	0	1	1	0	1	1	1
Features	Inventory Reports	0	1	1	1	1	1	1	1	1	1
Features	Low Stock Alerts	1	1	0	1	1	1	0	1	1	0
Features	Mobile User Interface	0	1	0	1	0	1	0	1	1	1
Features	Multi-Store Support	1	1	0	1	0	1	1	0	0	0
Features	Newsletters	1	1	1	0	1	1	0	1	1	0
Features	One Page Checkout	1	1	0	0	0	0	0	1	1	0
Features	Product Reviews	1	0	1	0	1	0	0	1	1	0
Features	Sales Reports	1	1	1	1	1	1	0	1	1	1
Features	Search Engine Optimization Tools	1	1	0	1	0	1	1	1	1	0
Features	Search Reports	0	1	1	0	1	0	0	1	1	0
Features	Site Search	1	1	1	1	1	0	1	1	1	0
Features	Spreadsheet Database Upload	1	0	0	0	0	0	0	1	1	0
Features	SSL Support	1	1	1	1	1	1	1	1	1	0
Features	Unlimited Products	1	1	1	1	1	1	1	1	1	0
Features	Wish List	1	1	1	1	0	0	1	1	1	0
Features	Design Features	1	1	1	1	1	1	1	1	1	1
SEO and Design Features	Auto-Generated Sitemaps	1	1	0	0	0	1	1	1	1	0
SEO and Design Features	Breadcrumb Navigation	1	0	0	0	0	0	0	1	1	0
SEO and Design Features	Bulk Product Import/Export	1	1	1	0	0	1	1	1	1	0
SEO and Design Features	Dedicated IP Address	0	0	0	0	0	0	0	0	1	0
SEO and Design Features	Drag and Drop Design	1	0	0	0	0	0	0	0	0	1
SEO and Design Features	Duplicate Content Checker	1	0	1	0	0	0	0	0	0	0
SEO and Design Features	Existing Site Migration	0	1	0	0	0	0	0	0	0	0
