feature_group	feature	CactuShop	CandyPress	The Armored Cart	TopShopper	Triocommerce	Drupal Commerce	Checkout Evolution	Freewebstore	GoECart IMS	goEmerchant
Features	Add Product Attributes	1	1	1	0	1	1	1	0	1	1
Features	Affiliates Program	1	1	1	0	0	1	1	1	1	0
Features	Content Management	1	0	1	0	1	1	1	1	1	1
Features	Customer Registration	1	1	1	0	1	1	1	1	1	1
Features	Design Features	1	1	1	1	1	0	0	0	0	1
Features	Digital Goods	1	1	1	0	1	1	1	1	0	0
Features	Edit Customers	0	1	0	0	0	0	0	0	0	0
Features	Email When Sale is Made	1	1	1	0	1	1	1	1	1	1
Features	Inventory Reports	1	1	1	0	1	0	0	0	0	1
Features	Low Stock Alerts	0	0	0	0	0	0	0	1	0	1
Features	Mobile User Interface	0	0	0	0	1	0	0	0	1	1
Features	Multi-Store Support	1	0	0	0	1	0	0	0	0	0
Features	Newsletters	0	1	0	0	1	0	0	1	0	0
Features	One Page Checkout	0	1	1	0	0	0	1	1	1	1
Features	Product Reviews	1	1	0	0	1	1	0	1	1	0
Features	Sales Reports	1	1	1	0	1	0	0	1	1	0
Features	Search Engine Optimization Tools	1	1	1	1	1	0	1	1	1	0
Features	Search Reports	0	1	0	0	0	1	1	1	0	0
Features	Site Search	1	0	1	0	1	1	0	0	1	0
Features	Spreadsheet Database Upload	0	0	0	0	0	1	0	0	0	0
Features	SSL Support	0	1	1	1	1	1	0	1	1	0
Features	Unlimited Products	0	1	1	1	1	1	1	1	1	0
Features	Wish List	1	1	0	0	0	0	1	1	1	1
SEO and Design Features	Auto-Generated Sitemaps	1	0	1	0	0	0	0	0	1	0
SEO and Design Features	Breadcrumb Navigation	0	0	1	0	0	0	0	0	0	0
SEO and Design Features	Bulk Image Upload	1	1	1	0	1	1	0	1	1	0
SEO and Design Features	Bulk Product Import/Export	0	0	1	0	0	0	0	1	0	0
SEO and Design Features	Custom SEO Tags	0	0	1	0	1	1	1	1	1	1
SEO and Design Features	Drag and Drop Design	0	0	0	0	0	0	1	0	1	1
SEO and Design Features	Existing Site Migration	0	0	0	1	0	0	0	0	0	0
SEO and Design Features	Modifiable HTML/CSS	1	1	1	1	1	0	0	0	0	0
SEO and Design Features	No Graphic Design Necessary	0	0	0	0	0	0	1	1	1	0
SEO and Design Features	No Programming Necessary	0	0	0	1	1	0	1	1	1	0
SEO and Design Features	Optimized URLs	1	0	0	0	1	1	0	1	1	0
SEO and Design Features	Site Templates	1	1	1	0	1	1	0	0	0	1
SEO and Design Features	Store/Product Subcategories	1	1	1	0	0	1	1	1	1	1
SEO and Design Features	Unlimited Store/Product Categories	0	1	1	0	1	1	0	1	1	0
SEO and Design Features	WYSIWYG Editor	0	0	1	0	0	0	0	0	0	0
Customer Management Features	Abandonment Tracking	0	0	0	0	0	0	0	0	1	1
Customer Management Features	Call Logs	0	0	0	0	0	0	0	1	0	0
Customer Management Features	Customer Account Creation	1	1	1	0	0	1	1	1	1	1
Customer Management Features	Customer Contact List	0	0	0	0	1	0	0	0	0	0
Customer Management Features	Customer Order History	1	1	1	1	0	1	0	1	1	1
Customer Management Features	Customer Profiles	1	1	0	0	1	1	1	1	1	1
Customer Management Features	Customer Specific Offers	0	1	0	0	0	0	0	0	0	0
Customer Management Features	Support Desk	1	0	1	0	1	1	1	1	1	0
Shipping Features	Custom Shipping Rules	0	0	0	0	0	1	0	1	1	1
Shipping Features	Drop Shipping	0	0	0	0	1	1	0	1	0	0
Shipping Features	Fedex Price Lookup	0	1	1	0	0	0	0	1	1	1
Shipping Features	Flat Rate Shipping	0	0	0	0	0	1	0	0	0	0
Shipping Features	Heavy Freight Shipping	0	0	0	0	0	0	0	1	1	0
Shipping Features	International Postage Fee Lookup	0	1	0	1	0	1	0	0	1	0
Shipping Features	Item Box Placement	0	0	0	0	1	0	0	0	0	0
Shipping Features	Label Printing	0	0	0	0	1	0	0	1	1	1
Shipping Features	Live Rate Shipping	0	1	0	0	0	0	0	0	0	0
Shipping Features	Product Specific Tax Rules	1	0	0	0	0	1	0	1	1	0
Shipping Features	Real Time Package Tracking	0	0	0	0	0	1	0	1	0	1
Shipping Features	Shipping Automation	0	0	0	0	1	0	0	0	1	0
Shipping Features	Shipping by Location	1	1	1	0	1	1	0	0	1	0
Shipping Features	Shipping Consolidation	0	0	0	0	0	1	0	0	0	0
Shipping Features	Shipping Price Calculator	1	1	1	1	1	1	0	1	1	0
Shipping Features	Shipping Weight Calculator	0	1	0	1	0	0	0	0	0	0
Shipping Features	Tax by Country	1	1	0	0	1	1	0	1	1	0
Shipping Features	Tax by State	1	1	1	0	0	0	0	1	1	0
Shipping Features	UPS Price Lookup	1	1	1	0	0	0	0	1	1	1
Shipping Features	USPS Price Lookup	0	1	1	0	0	0	0	0	1	0
Shipping Features	Weight Based Shipping	1	1	1	1	0	0	0	1	1	0
Hosting and Security Features	Daily Backup	0	0	1	0	1	1	1	1	1	0
Hosting and Security Features	Data Encryption	0	0	0	1	0	0	0	0	0	0
Hosting and Security Features	Dedicated SSL	0	0	0	0	1	1	0	1	1	0
Hosting and Security Features	Firewall Protection	0	0	0	0	1	0	0	0	0	0
Hosting and Security Features	FTP Access	0	0	1	1	1	0	0	0	1	0
Hosting and Security Features	PCI Compliance	0	1	0	0	1	0	0	0	1	0
Hosting and Security Features	Redundant DNS	0	0	0	0	1	0	0	0	0	0
Hosting and Security Features	Search Caching	0	1	0	0	0	0	0	1	0	0
Hosting and Security Features	Shared SSL	0	1	1	1	1	1	0	1	1	0
