feature_group	feature	MDBug	Omedix	Socrates Healthcare Informatics	ClinicSource Therapy Practice Management	Digisonics	Iridium Suite	Kipu Systems	Nexus EHR	OMS EHR	PT Practice Pro
Solutions Available	Electronic Medical Records	0	0	0	1	0	1	1	1	1	1
Solutions Available	Medical Billing	1	0	0	1	0	1	0	1	0	1
Solutions Available	Patient Scheduling	1	1	0	1	0	1	0	1	1	1
Solutions Available	Practice Management	0	1	1	1	0	0	0	1	1	1
Features	Claim Scrubber	0	0	0	1	0	0	0	0	0	1
Features	Credit Card Processing	0	0	0	1	0	0	0	0	0	0
Features	Document Management	0	0	0	1	1	1	0	1	0	1
Features	E-Prescribing	1	0	0	0	1	0	0	0	0	0
Features	Electronic Remittance Advice	0	0	0	1	0	0	0	0	0	0
Features	Insurance Verification	0	0	0	0	0	1	0	0	0	0
Features	Lab Orders and Results	0	0	0	0	1	0	1	0	1	0
Features	Online Booking	0	0	0	0	0	1	0	0	0	0
Features	Patient Portal	0	1	1	0	0	0	1	1	1	0
Features	Reporting Dashboard	0	0	0	0	1	1	1	0	1	1
