feature_group	feature	Datatel Solutions	DOX EMR	E*HealthLine.com	Genesis Primary Care EMR	GlobalOne Information Technologies	InfoQuest Systems	IntrinsiQ	Med USA	MedicBright Technologies	Medicity
Solutions Available	Electronic Medical Records	0	1	1	1	0	1	1	1	0	0
Solutions Available	Medical Billing	0	1	1	0	1	1	0	1	0	0
Solutions Available	Patient Scheduling	0	1	0	0	0	1	0	0	0	0
Solutions Available	Practice Management	0	0	0	0	1	1	1	1	0	0
Features	Claim Scrubber	0	0	1	0	0	1	0	0	0	1
Features	Document Management	0	1	0	0	1	0	0	0	0	0
Features	E-Prescribing	0	1	1	1	1	1	1	1	0	1
Features	Electronic Remittance Advice	0	0	0	0	0	0	0	1	0	0
Features	Lab Orders and Results	0	1	1	0	0	1	0	1	0	1
Features	Patient Portal	0	1	0	0	0	0	1	0	0	1
Features	Reporting Dashboard	0	1	1	0	0	0	0	1	0	1
Features	Speech Recognition	0	0	0	1	1	1	0	0	0	0
