feature_group	feature	360EHR	MOSES Cloud Complete	Soren Technology	Televox Software	Oxbow Intellectual Property	Platinum System EHR	AmisHealth	WiseMD	ASP.MD	Clinic Service Corporation
Solutions Available	Electronic Medical Records	1	1	0	1	1	1	1	1	1	1
Solutions Available	Medical Billing	1	1	0	1	0	1	0	0	1	1
Solutions Available	Patient Scheduling	1	0	0	1	0	1	1	0	1	0
Solutions Available	Practice Management	1	1	1	1	1	0	1	0	1	0
Features	Claim Scrubber	1	0	0	0	0	0	1	0	0	1
Features	Credit Card Processing	0	0	0	0	0	0	1	0	1	0
Features	Document Management	1	1	0	0	0	0	1	0	1	0
Features	E-Prescribing	1	0	0	0	1	0	1	0	1	0
Features	Electronic Remittance Advice	0	1	0	0	0	0	1	0	1	0
Features	Lab Orders and Results	1	1	0	0	0	1	1	1	1	0
Features	Online Booking	0	0	0	0	0	1	0	0	0	0
Features	Patient Portal	0	1	1	1	1	0	1	0	0	0
Features	Reporting Dashboard	0	1	0	1	0	0	0	0	0	0
Features	Speech Recognition	0	0	0	0	1	0	0	0	0	0
