feature_group	feature	EBIO-METRONICS	Fanno Creek Clinic	Integrated Document Solutions	Patagonia Health	NexSched	User Friendly EMR	Claimpower	ProNex	WorldVistA	DrScribe
Solutions Available	Electronic Medical Records	0	0	1	1	1	1	1	1	1	1
Solutions Available	Medical Billing	0	0	0	1	0	0	1	1	0	1
Solutions Available	Patient Scheduling	0	0	1	1	1	1	1	0	0	1
Solutions Available	Practice Management	0	0	0	1	1	0	0	0	1	1
Features	API Available	0	0	1	0	0	0	0	0	0	0
Features	Claim Scrubber	0	0	0	1	0	0	1	0	0	0
Features	Document Management	0	0	1	1	0	0	1	1	0	1
Features	E-Prescribing	0	0	1	1	0	1	1	1	0	1
Features	Electronic Remittance Advice	0	0	0	1	0	0	0	0	0	0
Features	Insurance Verification	0	0	0	1	0	0	0	0	1	1
Features	Lab Orders and Results	0	1	1	1	0	1	0	1	0	1
Features	Online Booking	0	1	0	0	0	0	0	0	0	0
Features	Patient Portal	0	1	1	1	0	0	0	1	0	0
Features	Reporting Dashboard	0	0	0	1	0	0	1	1	0	0
Features	Speech Recognition	0	0	1	1	0	0	0	0	0	1
