feature_group	feature	NaviNet	Z&H Healthcare Solutions	Iris Medical Services	Mychartsonline.com	Medical Voice Products	Radysans	Intuitive Medical Documents	MDRhythm	SMARTMD Corporation	VeinDraw
Solutions Available	Electronic Medical Records	1	1	1	1	1	1	1	1	1	0
Solutions Available	Medical Billing	0	1	1	0	0	1	0	1	0	0
Solutions Available	Patient Scheduling	1	1	1	0	0	1	1	1	0	1
Solutions Available	Practice Management	1	1	1	1	0	1	0	1	0	0
Features	API Available	1	1	0	0	0	0	0	0	0	0
Features	Document Management	0	0	1	0	1	0	0	0	0	1
Features	E-Prescribing	1	1	0	0	0	0	1	1	0	0
Features	Electronic Remittance Advice	1	1	0	0	0	0	0	0	0	0
Features	Lab Orders and Results	0	1	0	0	1	0	0	0	0	0
Features	Patient Portal	0	1	0	0	0	1	1	1	0	0
Features	Reporting Dashboard	0	0	0	0	1	0	0	0	0	0
