feature_group	feature	ChiroCloud	Covisint	Easy Billing Systems	MindL-Duke	NewYork-Presbyterian Hospital	InterSystems	MDVita EHR	Enli	LiquidEHR	Total Outsource
Solutions Available	Electronic Medical Records	1	0	1	1	1	1	1	0	1	1
Solutions Available	Medical Billing	1	0	1	1	0	1	1	0	1	1
Solutions Available	Patient Scheduling	1	0	1	1	0	1	1	0	1	1
Solutions Available	Practice Management	1	0	1	1	0	1	1	0	1	1
Features	Claim Scrubber	0	0	1	0	0	0	0	0	1	1
Features	Document Management	1	0	1	1	0	1	1	0	1	1
Features	E-Prescribing	0	0	1	1	1	1	1	0	1	1
Features	Insurance Verification	1	0	0	0	1	0	0	0	1	0
Features	Lab Orders and Results	1	0	1	0	1	1	0	0	1	0
Features	Patient Portal	0	1	0	0	1	1	0	0	0	1
Features	Reporting Dashboard	0	0	1	1	0	0	1	0	1	1
Features	Speech Recognition	0	0	0	0	1	0	0	0	0	0
