feature_group	feature	Medi-EHR	Intelidox	Medtech	Universal Research Solutions	Get Real Health	One Healthcare Solution	PBO	Avreo	Vision Infonet	UniEHR
Solutions Available	Medical Billing	1	1	1	1	0	0	1	0	1	1
Solutions Available	Patient Scheduling	0	0	1	1	0	0	1	1	0	1
Solutions Available	Practice Management	1	1	1	1	0	0	0	1	1	1
Solutions Available	Electronic Medical Records	1	1	1	1	1	1	1	1	1	1
Features	Document Management	0	1	1	1	0	0	1	0	0	0
Features	E-Prescribing	1	1	1	0	0	0	1	0	0	1
Features	Insurance Verification	0	0	0	0	0	0	0	1	1	0
Features	Lab Orders and Results	0	1	0	0	0	0	1	0	0	1
Features	Patient Portal	1	1	0	1	1	0	0	1	1	1
Features	Reporting Dashboard	0	0	0	0	0	0	1	1	0	0
Features	Speech Recognition	0	0	0	0	0	1	0	0	0	0
