feature_group	feature	FUJIFILM Medical Systems	Sunquest Information Systems	Vitalz Technologies	iClinic	FairWarning Portal	CitiusTech	Clarkson Eyecare	EMedicalNotes	PARADIGM EHR	MagView
Solutions Available	Electronic Medical Records	1	1	0	1	1	1	1	1	1	1
Solutions Available	Medical Billing	0	1	0	1	0	1	1	1	1	1
Solutions Available	Patient Scheduling	0	0	0	1	0	0	1	1	1	1
Solutions Available	Practice Management	1	1	0	1	0	1	0	1	1	1
Features	API Available	0	1	0	0	0	0	0	0	1	0
Features	Credit Card Processing	0	0	0	0	0	0	1	0	0	0
Features	Document Management	0	1	0	1	0	1	0	0	1	1
Features	E-Prescribing	1	1	0	1	0	0	0	1	1	0
Features	Electronic Remittance Advice	0	1	0	1	0	0	0	0	1	0
Features	Insurance Verification	0	0	0	0	0	1	1	0	0	0
Features	Lab Orders and Results	1	1	0	0	0	0	0	1	1	1
Features	Online Booking	0	0	0	0	0	0	1	1	0	0
Features	Patient Portal	0	1	0	1	0	0	1	1	1	1
Features	Reporting Dashboard	0	1	0	0	0	0	0	1	0	1
Features	Speech Recognition	0	0	0	1	0	0	0	0	1	0
