feature_group	feature	Enable Healthcare  (EHI)	eRAD	iMedicWare	Medaxion	Medicfusion EMR	RamSoft	DRS Enterprise	Medgen EHR	Medstreaming	MedConnect
Solutions Available	Electronic Medical Records	1	1	1	1	1	0	1	1	1	1
Solutions Available	Medical Billing	0	0	1	1	1	0	0	1	1	0
Solutions Available	Patient Scheduling	1	1	1	0	1	0	0	1	1	1
Solutions Available	Practice Management	1	1	0	1	1	1	1	1	1	0
Features	API Available	0	1	0	0	1	0	0	0	0	0
Features	Claim Scrubber	0	0	1	0	0	0	0	0	0	0
Features	Credit Card Processing	0	0	0	0	1	0	0	0	0	0
Features	Document Management	1	1	1	0	0	1	1	1	1	1
Features	E-Prescribing	0	1	1	0	1	0	1	1	0	1
Features	Electronic Remittance Advice	0	0	1	0	0	0	0	0	0	0
Features	Insurance Verification	0	1	1	0	1	0	0	1	0	0
Features	Lab Orders and Results	1	0	0	0	1	0	0	1	1	1
Features	Online Booking	1	0	1	0	0	0	0	0	0	0
Features	Patient Portal	1	1	1	0	1	0	1	1	1	1
Features	Reporting Dashboard	0	0	1	0	0	0	0	0	1	0
Features	Speech Recognition	1	1	1	0	0	1	0	0	0	0
