feature_group	feature	Insight Software	Sevocity	Wellspan Health	EMRlogic Systems	simplifyMD	SpringCharts	Informed	ImagingElements	MediSYS	EyeDoc EHR
Solutions Available	Electronic Medical Records	0	1	1	1	1	1	0	0	1	1
Solutions Available	Medical Billing	0	1	1	1	1	1	0	0	1	1
Solutions Available	Patient Scheduling	0	0	1	1	1	1	0	1	1	0
Solutions Available	Practice Management	0	1	0	1	1	1	0	1	1	0
Features	API Available	0	0	0	1	1	0	0	1	0	0
Features	Claim Scrubber	0	0	0	0	0	0	0	0	1	1
Features	Credit Card Processing	0	1	1	0	1	0	0	0	0	0
Features	Document Management	0	1	0	1	1	1	0	0	1	0
Features	E-Prescribing	0	1	0	1	1	1	0	0	1	1
Features	Electronic Remittance Advice	0	0	0	0	1	1	0	0	1	0
Features	Insurance Verification	0	1	1	0	1	0	1	0	1	0
Features	Lab Orders and Results	0	1	1	1	1	1	0	0	1	1
Features	Patient Portal	0	1	1	1	1	1	0	0	1	0
Features	Reporting Dashboard	0	0	1	0	1	1	1	0	1	0
Features	Speech Recognition	0	0	0	0	1	0	0	0	0	0
