feature_group	feature	eMedRec	SammyEHR	IrisCare	Clicktate	MD Logic World Wide	MD Synergy	MD-Reports	Welford Chart Notes	Medesync	MEDHOST EDIS
Solutions Available	Electronic Medical Records	0	0	1	1	1	1	1	1	1	1
Solutions Available	Medical Billing	0	1	1	0	0	0	0	1	1	0
Solutions Available	Patient Scheduling	1	1	0	1	0	1	1	0	0	0
Solutions Available	Practice Management	1	1	0	1	1	1	1	1	0	1
Features	Credit Card Processing	0	1	0	1	0	1	0	0	0	0
Features	Document Management	1	1	0	1	0	1	1	0	0	1
Features	E-Prescribing	1	1	0	1	1	1	1	1	1	1
Features	Electronic Remittance Advice	0	0	0	0	0	1	0	0	0	0
Features	Insurance Verification	0	1	0	1	1	1	1	1	0	0
Features	Lab Orders and Results	1	0	1	1	1	1	1	0	1	1
Features	Online Booking	0	0	0	0	0	1	0	0	1	0
Features	Patient Portal	0	1	0	1	1	1	1	1	1	1
Features	Reporting Dashboard	0	0	1	1	0	0	0	0	0	0
Features	Speech Recognition	0	0	0	0	0	0	0	1	0	0
