feature_group	feature	eDocComply	PhysicianXpress	MediRange	Empower	Project E-vita	EZ EHR	ForteEMR	Crib Notes	Healthland Centriq	HealthTec
Solutions Available	Medical Billing	1	1	1	1	0	1	1	0	1	1
Solutions Available	Patient Scheduling	0	0	1	0	0	0	1	0	1	1
Solutions Available	Practice Management	1	1	1	1	0	1	1	0	1	1
Solutions Available	Electronic Medical Records	1	1	1	1	1	1	1	1	1	1
Features	API Available	0	0	0	0	0	0	0	0	1	0
Features	Claim Scrubber	0	1	1	0	0	0	0	0	1	1
Features	Credit Card Processing	0	0	0	1	0	0	0	0	0	0
Features	Document Management	1	1	1	1	0	0	1	1	1	1
Features	E-Prescribing	1	0	0	1	0	1	1	0	1	1
Features	Electronic Remittance Advice	0	0	0	1	0	0	0	0	1	0
Features	Insurance Verification	1	1	1	1	0	1	0	0	1	1
Features	Lab Orders and Results	1	1	0	1	0	0	1	1	1	1
Features	Patient Portal	0	0	0	1	0	1	0	0	1	0
Features	Reporting Dashboard	0	0	0	1	1	0	0	0	0	0
