feature_group	feature	Virtual Medical Network	Biosoftworld Medical Scheduler	Practice Expert EMR	Chart Links	Claimat EMR	ClinixMD	CPSI System	Cyfluent EHS Ecosystem	PowerSoftMD	doc2MD
Solutions Available	Medical Billing	1	1	1	1	1	1	1	1	1	0
Solutions Available	Patient Scheduling	1	1	1	1	1	1	1	1	1	0
Solutions Available	Practice Management	1	1	1	1	1	1	1	1	1	0
Solutions Available	Electronic Medical Records	1	1	1	1	1	1	1	1	1	1
Features	API Available	0	0	0	0	0	0	0	0	0	1
Features	Credit Card Processing	0	0	0	0	1	0	0	1	1	0
Features	Document Management	0	1	1	1	1	1	1	1	1	1
Features	E-Prescribing	0	0	1	0	1	1	1	0	1	1
Features	Electronic Remittance Advice	0	0	1	1	1	1	0	1	1	0
Features	Insurance Verification	0	1	1	0	1	1	1	0	1	1
Features	Lab Orders and Results	0	1	1	0	1	1	1	1	1	1
Features	Online Booking	0	0	0	1	1	0	0	0	0	0
Features	Patient Portal	1	0	1	1	1	1	0	1	1	0
Features	Reporting Dashboard	0	1	1	0	1	1	0	0	0	0
Features	Speech Recognition	0	0	0	0	0	1	0	0	0	0
