feature_group	feature	GaiaEHR	AccuMed	EHR Suite	1st Provider's Choice EMR	CarePaths eRecord	MCIS Clinicals	DrFirst Rcopia-MU	Henry Schein MicroMD EMR	Merge Healthcare OrthoEMR	EMA
Solutions Available	Medical Billing	1	1	0	1	1	0	1	0	0	1
Solutions Available	Patient Scheduling	0	1	1	1	1	0	0	0	1	1
Solutions Available	Practice Management	0	1	1	1	1	1	1	1	1	1
Solutions Available	Electronic Medical Records	1	1	1	1	1	1	1	1	1	1
Features	API Available	1	1	0	0	0	0	0	0	0	1
Features	Claim Scrubber	0	1	1	1	0	0	0	1	0	1
Features	Credit Card Processing	0	1	0	0	1	0	0	0	0	0
Features	Document Management	1	1	1	1	1	0	0	1	1	0
Features	E-Prescribing	1	1	0	1	1	1	1	1	0	1
Features	Electronic Remittance Advice	0	0	0	0	1	0	0	0	0	0
Features	Insurance Verification	0	1	0	1	0	1	1	1	0	1
Features	Lab Orders and Results	0	1	1	1	0	1	0	1	1	0
Features	Patient Portal	1	1	1	1	1	1	0	1	0	1
Features	Reporting Dashboard	0	1	1	1	0	0	0	1	0	0
Features	Speech Recognition	0	0	0	1	0	0	0	1	0	1
