feature_group	feature	PCC Pediatric EHR Solutions	CareRecord	Direct EMR	Care MD	Physician Communication Services (PCS)	RISynergy	PHYAURA	PatientClick	DrCloudEMR	SpectraSuite
Solutions Available	Electronic Medical Records	1	1	1	0	1	1	0	1	1	1
Solutions Available	Medical Billing	1	1	1	1	0	0	0	1	1	1
Solutions Available	Patient Scheduling	0	1	1	0	0	1	0	1	1	0
Solutions Available	Practice Management	1	1	1	1	1	1	0	0	1	1
Features	API Available	0	0	1	0	0	0	0	0	0	0
Features	Claim Scrubber	1	1	0	0	0	0	0	1	0	0
Features	Document Management	1	1	1	0	1	1	0	1	1	1
Features	E-Prescribing	1	1	0	1	1	0	0	1	1	1
Features	Electronic Remittance Advice	0	0	0	0	0	0	0	0	1	0
Features	Insurance Verification	1	1	1	0	1	0	0	1	0	0
Features	Lab Orders and Results	0	1	0	1	0	0	0	1	0	1
Features	Online Booking	0	1	0	0	1	0	0	0	0	0
Features	Patient Portal	1	1	1	0	0	0	0	1	1	0
Features	Reporting Dashboard	1	1	0	0	0	1	0	1	0	0
Features	Speech Recognition	0	1	0	0	0	1	0	0	0	0
