feature_group	feature	PayDC	Eyecom3	MediGraph	VeinSpec EMR	Atreya EMR	iChartsMD	Optum Physician EMR	nAbleMD	PatientVu	PsychConsult Provider
Solutions Available	Electronic Medical Records	1	1	1	1	0	1	1	1	1	1
Solutions Available	Medical Billing	1	0	0	1	0	1	1	1	1	1
Solutions Available	Patient Scheduling	1	1	1	1	0	1	1	1	1	1
Solutions Available	Practice Management	1	1	1	1	0	1	1	1	1	1
Features	API Available	0	0	0	0	0	0	1	0	0	1
Features	Claim Scrubber	0	0	0	0	0	0	0	1	0	0
Features	Credit Card Processing	1	0	0	0	0	0	0	0	0	0
Features	Document Management	1	1	1	1	0	1	1	1	1	1
Features	E-Prescribing	0	1	0	1	0	1	0	1	1	1
Features	Electronic Remittance Advice	1	0	0	0	0	1	0	0	0	0
Features	Insurance Verification	0	1	1	1	0	1	0	0	0	1
Features	Lab Orders and Results	0	1	0	1	0	1	1	1	1	1
Features	Online Booking	0	0	0	0	0	0	1	1	1	0
Features	Patient Portal	1	1	0	0	0	0	1	1	0	1
Features	Reporting Dashboard	0	0	0	1	0	0	0	1	1	1
