feature_group	feature	FreeDOM MD	Falcon	Criterions Medical Suite	Acumen nEHR®	Enki	WebChart	AdvantaChart	MedServices Central	The Digital Office	Virtuoso
Solutions Available	Electronic Medical Records	1	1	1	1	1	1	1	1	0	1
Solutions Available	Medical Billing	1	0	1	1	0	0	1	1	0	1
Solutions Available	Patient Scheduling	0	1	1	1	1	0	0	1	1	1
Solutions Available	Practice Management	1	1	1	1	1	1	1	1	1	1
Features	API Available	0	0	0	1	0	0	1	0	0	0
Features	Claim Scrubber	1	0	0	0	0	0	0	1	0	0
Features	Credit Card Processing	1	0	0	0	0	0	1	0	1	0
Features	E-Prescribing	1	1	1	1	1	1	1	1	0	1
Features	Electronic Remittance Advice	1	0	1	1	0	0	0	1	1	1
Features	Insurance Verification	1	0	0	0	0	0	0	0	0	0
Features	Lab Orders and Results	0	1	0	1	1	1	0	1	0	1
Features	Online Booking	0	0	0	0	1	0	0	0	0	0
Features	Patient Portal	0	1	0	1	1	1	1	1	1	0
Features	Reporting Dashboard	0	1	0	1	1	0	0	1	0	0
Features	Document Management	1	1	1	1	1	1	1	1	1	1
