feature_group	feature	SmartEMR	ChartMaker Clinical	Synamed	Clinical Navigator	T System EV	EndoVault	VersaForm	Workflow	NeoMed	Wellsoft EDIS
Solutions Available	Electronic Medical Records	1	0	1	1	1	1	1	1	1	1
Solutions Available	Medical Billing	1	0	1	1	0	0	1	0	0	1
Solutions Available	Patient Scheduling	0	0	1	1	0	1	1	1	0	0
Solutions Available	Practice Management	0	0	1	0	1	1	1	0	1	0
Features	API Available	1	0	1	0	1	0	0	0	0	1
Features	Claim Scrubber	1	0	1	1	0	0	0	0	0	0
Features	Credit Card Processing	0	0	0	0	0	0	1	0	0	0
Features	Document Management	0	0	1	1	1	1	1	1	1	1
Features	E-Prescribing	1	0	1	0	1	1	1	1	1	1
Features	Electronic Remittance Advice	0	0	0	1	0	0	1	0	0	0
Features	Insurance Verification	1	0	1	0	0	0	1	0	0	0
Features	Lab Orders and Results	1	0	1	1	0	1	1	1	1	1
Features	Online Booking	0	0	1	1	0	0	1	0	0	0
Features	Patient Portal	1	0	1	0	0	1	0	0	0	0
Features	Reporting Dashboard	0	0	0	0	0	0	1	1	1	0
Features	Speech Recognition	0	0	0	0	0	1	1	0	1	0
