feature_group	feature	Apprise ERP	SYSPRO ERP	Acumatica Cloud ERP	Blue Link ERP	CANIAS ERP	EZ Business System	Infor ERP	OMS ERP	Catalyst 7 ERP	PENTA Construction ERP Software
Accounting Features	Accrual-Based Costing	1	1	1	1	1	1	1	0	0	0
Accounting Features	Analytic Accounting	1	1	1	0	1	0	1	0	1	1
Accounting Features	Bank Reconciliation	1	1	1	1	0	1	1	1	1	1
Accounting Features	Budgeting & Forecasting	1	1	1	1	1	0	1	1	1	1
Accounting Features	Tax Preparation	1	1	1	1	1	0	0	0	0	1
Accounting Features	Billing & Invoicing	1	1	1	1	1	1	1	1	1	1
Business Intelligence Features	Custom Dashboards	1	1	1	1	1	1	1	0	0	0
Business Intelligence Features	Custom Reports	1	1	1	1	1	0	1	0	0	1
Business Intelligence Features	Predictive Analytics	1	1	1	1	0	0	1	1	1	0
Business Intelligence Features	Role-Based Dashboards	1	1	1	0	0	0	1	0	0	1
Business Intelligence Features	Scorecards	1	1	0	0	1	0	1	0	0	0
CRM Features	Call Center Support	1	1	1	0	1	0	0	1	0	0
CRM Features	Contact Management	1	1	1	1	1	1	1	0	1	0
CRM Features	Customer Self-Service	1	1	1	0	0	0	1	1	0	1
CRM Features	Estimating & Quoting	1	1	1	1	1	1	1	0	1	0
CRM Features	Field Service Management	0	0	0	1	0	0	1	0	1	1
CRM Features	Help Desk	0	1	1	1	1	1	1	1	1	0
CRM Features	Knowledge Base	1	0	1	0	0	0	1	0	0	0
CRM Features	Sales Force Automation	0	1	1	1	1	1	1	0	1	0
eCommerce Features	Custom Design	0	1	1	0	0	1	0	0	0	0
eCommerce Features	Custom Pricing	1	0	0	1	0	0	0	0	1	0
eCommerce Features	Customer Reviews	0	0	0	1	0	0	0	0	0	0
eCommerce Features	Shopping Cart	0	1	1	1	0	0	0	1	0	0
HR Features	Benefits	0	1	1	0	1	1	0	0	1	0
HR Features	Employee Self-Service	0	1	1	0	0	0	1	0	1	1
HR Features	Leave Management	0	0	0	0	1	0	0	0	0	1
HR Features	Payroll	0	1	1	0	1	1	1	1	1	1
HR Features	Performance Review	0	0	0	0	1	0	0	0	1	0
HR Features	Time & Attendance	0	1	1	0	1	1	1	1	1	1
HR Features	Training	0	1	0	1	1	1	1	0	1	0
Inventory Features	Fleet Management	1	0	0	0	1	1	0	1	0	1
Inventory Features	Inventory Forecasting	1	1	1	0	1	1	1	1	1	1
Inventory Features	Multi-Location	1	1	1	1	1	0	1	1	1	1
Inventory Features	Reorder Triggers	1	0	1	1	0	0	1	1	1	1
Inventory Features	Tagging	1	0	1	1	1	0	1	1	1	0
Maintenance Features	CMMS	0	1	0	0	0	0	0	0	0	0
Maintenance Features	Fixed Assets	0	1	1	0	1	1	1	1	1	1
Manufacturing Features	CAD Interface	0	1	0	0	0	0	0	0	0	0
Manufacturing Features	Change Control	1	1	1	0	0	0	1	0	1	0
Manufacturing Features	Lean Manufacturing	0	1	0	0	0	0	1	0	1	0
Manufacturing Features	Quality Management	1	1	1	1	1	1	1	1	1	0
Manufacturing Features	Sampling	1	0	0	0	0	0	0	0	0	0
Project Management Features	Agile	0	0	0	0	1	0	0	1	0	0
Project Management Features	Gantt Charts	0	1	1	0	0	0	1	0	0	0
Project Management Features	Issue Tracking	0	1	0	1	0	0	1	0	1	0
Project Management Features	Resource Management	0	1	1	1	1	1	1	1	1	0
Sales & Marketing Features	A/B Testing	0	1	0	0	0	0	0	0	0	0
Sales & Marketing Features	Commissions	1	1	1	1	0	0	1	1	0	0
Sales & Marketing Features	Email/SMS Marketing	0	0	1	0	1	0	0	1	0	0
Sales & Marketing Features	Lead Management	0	0	1	1	0	0	1	0	0	0
Sales & Marketing Features	Marketing Automation	0	0	1	0	1	0	0	0	0	0
Sales & Marketing Features	Web Analytics	0	0	0	0	1	0	0	0	0	0
Supply Chain Management Features	Bid Management	1	1	1	0	0	1	0	0	0	0
Supply Chain Management Features	Demand Forecasting	1	1	1	0	0	1	1	1	1	0
Supply Chain Management Features	Inspection of Goods	1	1	1	0	1	1	1	1	1	0
Supply Chain Management Features	Order to Cash	1	1	1	0	1	1	1	0	1	0
Supply Chain Management Features	Product Configurator	1	1	1	1	1	1	1	1	1	0
Supply Chain Management Features	Request for Proposal	1	1	1	0	0	0	0	0	1	0
Supply Chain Management Features	Supplier Self-Service	1	1	0	0	0	0	1	0	0	1
