feature_group	feature	PerfectJob	Plum ERP	Enterprise Optimizer	Roads ERP	RSA eBusiness Solutions	SalesOrder.com	SanSoftERP	Sellsy	Purlynt	Shark-ERP
Accounting Features	Accrual-Based Costing	0	0	0	0	1	1	1	0	1	0
Accounting Features	Analytic Accounting	1	0	0	0	0	0	0	0	0	0
Accounting Features	Bank Reconciliation	1	0	0	0	1	1	0	0	0	0
Accounting Features	Billing & Invoicing	1	0	0	1	1	1	1	1	1	1
Accounting Features	Budgeting & Forecasting	1	1	1	0	1	1	1	0	1	0
Accounting Features	Tax Preparation	1	1	1	0	1	0	1	1	1	1
Business Intelligence Features	Custom Dashboards	1	1	0	0	1	1	0	1	0	0
Business Intelligence Features	Custom Reports	1	1	1	1	1	1	1	0	1	1
Business Intelligence Features	Role-Based Dashboards	1	1	1	0	0	0	0	0	0	0
Business Intelligence Features	Scorecards	1	0	1	0	0	0	0	0	1	0
CRM Features	Call Center Support	0	1	0	0	0	0	0	0	0	0
CRM Features	Contact Management	1	1	0	1	1	1	0	1	1	0
CRM Features	Estimating & Quoting	1	1	0	1	1	1	1	1	1	1
CRM Features	Help Desk	0	0	1	0	1	1	0	1	1	0
CRM Features	Knowledge Base	0	0	1	0	0	0	0	0	0	0
eCommerce Features	Custom Design	0	0	0	0	0	1	0	1	0	1
eCommerce Features	Custom Pricing	1	0	1	0	1	0	1	0	0	0
eCommerce Features	Customer Reviews	1	0	0	0	0	0	0	0	0	0
eCommerce Features	Shopping Cart	0	0	0	0	0	1	0	0	0	0
HR Features	Benefits	1	1	0	0	0	0	0	0	1	0
HR Features	Employee Self-Service	0	1	0	0	0	0	0	0	1	0
HR Features	Leave Management	0	0	0	0	0	0	1	0	1	0
HR Features	Payroll	0	1	0	0	1	1	1	0	1	0
HR Features	Performance Review	1	1	0	0	0	0	1	0	1	0
HR Features	Recruiting	1	1	0	0	0	0	1	0	1	0
HR Features	Time & Attendance	1	1	0	0	0	1	1	1	1	0
HR Features	Training	1	0	0	0	1	1	1	0	1	0
Inventory Features	Fleet Management	1	0	1	1	1	0	0	0	1	0
Inventory Features	Inventory Forecasting	1	0	1	0	1	1	1	1	0	0
Inventory Features	Multi-Location	0	1	0	0	1	1	0	0	1	0
Inventory Features	Reorder Triggers	1	1	0	0	1	0	0	1	0	0
Inventory Features	Tagging	1	0	0	0	1	0	0	1	0	1
Maintenance Features	Fixed Assets	1	1	0	0	1	0	0	0	1	0
Manufacturing Features	Lean Manufacturing	0	1	0	0	0	0	0	0	0	0
Manufacturing Features	Quality Management	1	1	1	0	0	0	0	0	1	1
Project Management Features	Agile	0	0	0	0	0	0	0	1	0	0
Project Management Features	Issue Tracking	0	0	1	0	0	0	1	0	0	0
Project Management Features	Resource Management	1	1	1	1	0	0	0	0	1	0
Sales & Marketing Features	Commissions	0	0	0	0	0	1	0	0	0	0
Sales & Marketing Features	Email/SMS Marketing	1	0	0	0	0	0	0	1	1	0
Sales & Marketing Features	Lead Management	0	1	0	0	1	1	0	0	0	0
Sales & Marketing Features	Marketing Automation	0	1	0	0	0	0	0	1	0	0
Supply Chain Management Features	Demand Forecasting	0	0	1	0	0	0	0	0	1	0
Supply Chain Management Features	Inspection of Goods	0	0	0	0	0	0	0	0	0	1
Supply Chain Management Features	Order to Cash	0	1	0	1	1	1	0	0	0	0
Supply Chain Management Features	Product Configurator	0	0	0	1	0	0	0	0	1	0
Supply Chain Management Features	Request for Proposal	0	0	0	0	0	0	0	0	1	0
Supply Chain Management Features	Supplier Self-Service	0	0	0	0	0	0	0	1	0	0
