feature_group	feature	SIEPL ERP	Softrader	Friedman ERP	ProfitKey RRM	Vertex ERP	xTuple Postbooks	Wings ERP	24SevenOffice	Ebizframe ERP Software	Construct Manager
Main Functionality	Business Intelligence	1	1	0	1	0	1	1	0	1	0	1	1	0	1	0	1	1	0	1	0
Main Functionality	eCommerce	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0
Main Functionality	Human Resources	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1
Main Functionality	Maintenance	1	1	0	0	1	1	1	0	1	0	1	1	0	0	1	1	1	0	1	0
Main Functionality	Manufacturing	1	1	1	1	0	1	0	0	1	0	1	1	1	1	0	1	0	0	1	0
Main Functionality	Project Management	1	1	1	1	1	0	1	0	0	0	1	1	1	1	1	0	1	0	0	0
Main Functionality	Sales & Marketing	1	0	1	1	0	1	0	1	0	0	1	0	1	1	0	1	0	1	0	0
Main Functionality	Supply Chain	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1	1
Main Functionality	Accounting	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Main Functionality	CRM	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Main Functionality	Inventory	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
Accounting Features	Accrual-Based Costing	1	0	0	0	0	0	0	0	0	0
Accounting Features	Bank Reconciliation	1	0	0	0	1	1	1	1	1	1
Accounting Features	Billing & Invoicing	0	1	0	1	1	1	1	1	1	1
Accounting Features	Budgeting & Forecasting	1	1	1	1	1	1	1	1	1	0
Accounting Features	Tax Preparation	0	0	0	1	0	1	1	0	1	0
Business Intelligence Features	Custom Dashboards	0	0	0	1	0	1	1	0	1	0
Business Intelligence Features	Custom Reports	0	1	0	1	0	1	1	0	1	0
Business Intelligence Features	Predictive Analytics	1	0	0	0	0	1	0	0	1	0
Business Intelligence Features	Role-Based Dashboards	0	0	0	1	0	0	0	0	1	0
CRM Features	Call Center Support	0	0	0	0	0	0	0	1	0	1
CRM Features	Contact Management	0	0	1	1	1	1	0	1	1	1
CRM Features	Customer Self-Service	0	0	1	0	0	0	0	0	0	0
CRM Features	Estimating & Quoting	1	1	1	1	1	1	0	0	1	0
CRM Features	Field Service Management	0	0	0	1	0	0	0	0	1	0
CRM Features	Help Desk	0	0	1	0	0	0	1	0	0	0
CRM Features	Sales Force Automation	1	0	0	1	0	1	0	0	1	0
eCommerce Features	Custom Design	0	0	0	0	0	0	1	0	0	0
HR Features	Benefits	0	0	0	0	0	0	0	0	1	0
HR Features	Leave Management	1	0	0	0	0	0	0	0	1	0
HR Features	Payroll	1	0	1	1	1	1	1	0	1	1
HR Features	Performance Review	1	0	0	0	0	0	0	0	1	1
HR Features	Recruiting	0	0	0	0	0	0	0	0	1	0
HR Features	Time & Attendance	1	1	0	1	1	1	0	0	1	1
HR Features	Training	0	0	0	0	0	0	0	0	1	0
Inventory Features	Fleet Management	1	1	1	0	0	1	0	0	1	0
Inventory Features	Inventory Forecasting	1	1	1	0	1	0	0	1	0	0
Inventory Features	Multi-Location	1	0	0	0	0	1	1	0	1	1
Inventory Features	Tagging	0	0	1	1	0	1	1	0	0	0
Maintenance Features	Energy Management	0	1	0	0	0	0	0	0	0	0
Maintenance Features	Fixed Assets	1	0	0	0	1	1	1	0	1	0
Manufacturing Features	Lean Manufacturing	1	0	0	0	0	0	0	0	0	0
Manufacturing Features	Quality Management	1	1	1	1	0	1	0	0	1	0
Project Management Features	Agile	0	0	0	1	0	0	1	0	0	0
Project Management Features	Issue Tracking	1	0	0	0	0	0	0	0	0	0
Project Management Features	Resource Management	1	1	1	1	1	0	0	0	0	0
Sales & Marketing Features	Commissions	0	0	1	0	0	1	0	0	0	0
Sales & Marketing Features	Lead Management	1	0	0	0	0	0	0	1	0	0
Sales & Marketing Features	Marketing Automation	0	0	0	1	0	0	0	0	0	0
Supply Chain Management Features	Demand Forecasting	1	0	0	1	1	1	0	0	1	0
Supply Chain Management Features	Inspection of Goods	1	0	0	0	0	0	0	0	0	0
Supply Chain Management Features	Order to Cash	0	1	1	0	0	1	0	0	0	1
Supply Chain Management Features	Product Configurator	0	0	1	1	0	0	1	0	0	0
Supply Chain Management Features	Supplier Self-Service	0	0	1	0	0	0	0	0	0	0
