feature_group	feature	Carillon ERP	CIMA Manufacturing ERP System	Abel	Datatex	Knovalent	Knowledge Matrix	OmegaCube ERP	TOTVS ERP	BizOS	Tribute
Main Functionality	Accounting	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
Main Functionality	Business Intelligence	1	0	1	1	0	1	1	1	0	1	1	0	1	1	0	1	1	1	0	1
Main Functionality	CRM	1	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1
Main Functionality	eCommerce	1	0	0	1	0	1	1	0	0	0	1	0	0	1	0	1	1	0	0	0
Main Functionality	Human Resources	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	0	1
Main Functionality	Inventory	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
Main Functionality	Maintenance	1	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1
Main Functionality	Manufacturing	1	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1
Main Functionality	Project Management	1	0	1	1	1	1	1	1	0	1	1	0	1	1	1	1	1	1	0	1
Main Functionality	Sales & Marketing	1	0	1	0	0	1	1	1	1	1	1	0	1	0	0	1	1	1	1	1
Main Functionality	Supply Chain	1	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
Accounting Features	Accrual-Based Costing	0	0	1	1	1	1	0	0	0	1
Accounting Features	Analytic Accounting	1	0	1	0	0	1	1	0	0	0
Accounting Features	Bank Reconciliation	1	0	1	0	0	1	1	1	0	0
Accounting Features	Billing & Invoicing	1	0	1	1	1	1	1	1	1	1
Accounting Features	Budgeting & Forecasting	0	0	1	1	0	1	1	1	1	1
Accounting Features	Tax Preparation	1	0	1	1	1	1	1	1	0	1
Business Intelligence Features	Custom Reports	1	0	1	0	0	1	1	0	0	0
Business Intelligence Features	Predictive Analytics	0	0	0	1	0	0	0	1	0	1
Business Intelligence Features	Role-Based Dashboards	1	0	0	0	0	0	1	0	1	0
Business Intelligence Features	Scorecards	0	0	0	1	0	0	0	1	0	0
CRM Features	Call Center Support	0	0	0	0	1	1	0	1	0	0
CRM Features	Contact Management	1	0	1	1	0	0	1	1	1	1
CRM Features	Customer Self-Service	1	0	1	1	0	0	1	0	0	0
CRM Features	Estimating & Quoting	1	0	1	1	0	0	1	0	1	1
CRM Features	Field Service Management	0	0	1	1	0	0	0	0	0	1
CRM Features	Help Desk	0	0	0	0	1	1	0	1	0	0
CRM Features	Sales Force Automation	0	0	1	0	0	0	1	1	0	1
eCommerce Features	Custom Pricing	0	0	0	1	0	0	0	0	0	0
eCommerce Features	Shopping Cart	1	0	0	0	0	1	1	0	0	0
HR Features	Benefits	0	0	0	0	0	0	0	1	0	0
HR Features	Employee Self-Service	0	0	1	0	0	0	0	0	0	0
HR Features	Payroll	1	0	1	1	1	1	1	1	0	1
HR Features	Recruiting	0	0	0	0	0	0	0	1	0	0
HR Features	Time & Attendance	1	0	0	0	1	1	1	1	1	0
HR Features	Training	0	1	1	0	0	0	0	1	0	0
Inventory Features	Fleet Management	0	0	0	1	1	1	1	1	0	1
Inventory Features	Inventory Forecasting	1	0	1	1	1	1	1	1	1	1
Inventory Features	Multi-Location	1	0	1	1	0	1	1	1	1	0
Inventory Features	Reorder Triggers	0	0	0	0	0	0	1	0	0	0
Inventory Features	Tagging	1	0	1	1	1	0	1	0	0	1
Maintenance Features	Capital Projects	1	0	0	1	0	0	1	0	0	0
Maintenance Features	Energy Management	0	0	0	0	0	0	1	1	0	0
Maintenance Features	Fixed Assets	1	0	1	0	1	1	1	1	1	1
Manufacturing Features	CAD Interface	0	0	0	1	0	0	0	0	0	0
Manufacturing Features	Change Control	0	0	0	1	0	0	0	0	0	0
Manufacturing Features	Lean Manufacturing	1	0	0	0	0	0	0	0	0	1
Manufacturing Features	Quality Management	1	0	1	1	1	1	1	1	1	0
Project Management Features	Agile	1	0	0	0	1	1	0	1	0	0
Project Management Features	Gantt Charts	0	0	0	0	0	0	1	0	0	0
Project Management Features	Issue Tracking	0	0	1	0	0	1	0	0	1	1
Project Management Features	Resource Management	1	0	1	1	1	1	1	1	1	0
Sales & Marketing Features	Commissions	1	0	0	0	0	1	0	1	0	0
Sales & Marketing Features	Email/SMS Marketing	1	0	0	0	0	0	1	0	0	1
Sales & Marketing Features	Lead Management	0	0	1	0	0	0	0	1	0	0
Supply Chain Management Features	Demand Forecasting	1	0	1	1	1	1	1	1	1	1
Supply Chain Management Features	Inspection of Goods	0	0	1	1	1	0	1	0	1	0
Supply Chain Management Features	Order to Cash	1	0	1	1	0	0	0	1	0	1
Supply Chain Management Features	Product Configurator	1	0	0	0	0	0	1	0	0	0
