feature_group	feature	DreamApps	eresource ERP	Priority ERP	Focus i	SapphireOne	WinMan ERP Software	VISIBILITY.net	Adempiere	InfyBiz ERP	Ecount ERP
Accounting Features	Accrual-Based Costing	0	1	1	0	1	0	1	1	1	0
Accounting Features	Analytic Accounting	0	0	1	1	1	0	0	1	1	0
Accounting Features	Bank Reconciliation	0	1	0	1	1	0	0	1	1	0
Accounting Features	Budgeting & Forecasting	1	0	1	1	1	1	1	1	0	0
Accounting Features	Tax Preparation	0	1	0	0	1	1	0	1	1	0
Accounting Features	Billing & Invoicing	1	1	1	1	1	1	1	1	1	1
Business Intelligence Features	Custom Dashboards	1	0	1	0	1	1	0	1	0	1
Business Intelligence Features	Custom Reports	0	0	0	0	1	1	0	1	0	1
Business Intelligence Features	Predictive Analytics	0	0	0	0	0	0	0	1	0	0
Business Intelligence Features	Role-Based Dashboards	0	0	1	1	1	1	0	1	1	1
CRM Features	Call Center Support	1	0	1	0	0	0	0	1	1	0
CRM Features	Contact Management	1	1	1	1	1	1	0	1	1	1
CRM Features	Customer Self-Service	0	0	0	1	0	0	1	0	1	1
CRM Features	Estimating & Quoting	0	1	1	1	1	1	1	1	1	1
CRM Features	Field Service Management	0	0	1	1	0	0	1	0	1	0
CRM Features	Help Desk	0	1	1	0	0	1	0	0	1	1
CRM Features	Knowledge Base	1	0	1	1	0	0	0	0	0	0
CRM Features	Sales Force Automation	1	1	1	1	0	1	1	0	0	1
eCommerce Features	Custom Design	1	0	0	0	1	1	0	0	0	1
eCommerce Features	Custom Pricing	0	0	0	0	0	1	0	0	0	0
eCommerce Features	Shopping Cart	1	1	0	0	0	0	0	1	0	0
HR Features	Benefits	1	0	1	1	0	0	1	0	1	0
HR Features	Employee Self-Service	1	0	1	0	0	0	0	0	0	1
HR Features	Leave Management	1	1	0	1	1	0	0	1	1	1
HR Features	Payroll	1	1	1	1	1	0	1	1	1	1
HR Features	Performance Review	1	1	1	1	0	0	0	0	0	0
HR Features	Recruiting	1	1	1	1	1	0	0	0	0	0
HR Features	Training	1	1	1	1	0	0	0	0	0	0
HR Features	Time & Attendance	1	1	1	1	1	1	1	1	1	1
Inventory Features	Fleet Management	1	1	1	1	0	0	1	1	0	0
Inventory Features	Inventory Forecasting	0	0	1	0	1	1	1	1	1	1
Inventory Features	Multi-Location	0	0	0	1	1	1	0	1	0	1
Inventory Features	Reorder Triggers	1	0	0	1	1	1	1	0	1	1
Inventory Features	Tagging	0	0	0	1	1	0	1	1	0	1
Maintenance Features	Capital Projects	0	0	0	0	1	0	0	0	0	0
Maintenance Features	CMMS	0	0	0	1	0	0	1	0	0	0
Maintenance Features	Energy Management	0	0	0	0	1	0	0	0	0	0
Maintenance Features	Fixed Assets	1	1	1	1	1	1	0	1	0	1
Manufacturing Features	CAD Interface	0	0	0	0	0	0	1	0	0	0
Manufacturing Features	Change Control	0	1	1	0	0	1	1	0	0	0
Manufacturing Features	Lean Manufacturing	0	1	0	0	0	1	0	1	0	0
Manufacturing Features	Quality Management	0	1	1	1	1	1	1	1	1	1
Manufacturing Features	Sampling	0	0	0	0	0	0	0	1	0	1
Project Management Features	Agile	0	0	0	1	1	1	0	1	1	0
Project Management Features	Gantt Charts	0	1	1	0	0	0	0	0	0	1
Project Management Features	Issue Tracking	0	0	1	0	1	0	0	1	0	0
Project Management Features	Resource Management	1	1	1	0	1	1	1	1	0	1
Sales & Marketing Features	Commissions	0	1	0	0	0	1	0	1	0	1
Sales & Marketing Features	Email/SMS Marketing	0	0	0	0	0	1	0	0	1	0
Sales & Marketing Features	Lead Management	0	0	1	0	0	1	0	1	1	1
Sales & Marketing Features	Marketing Automation	0	1	1	0	0	0	0	0	1	0
Supply Chain Management Features	Bid Management	0	1	0	0	0	0	0	0	0	0
Supply Chain Management Features	Demand Forecasting	1	1	1	1	1	1	1	1	0	0
Supply Chain Management Features	Inspection of Goods	0	1	1	0	1	1	0	0	1	1
Supply Chain Management Features	Order to Cash	1	1	1	0	1	0	1	1	1	0
Supply Chain Management Features	Product Configurator	0	1	1	0	1	1	1	1	1	0
Supply Chain Management Features	Request for Proposal	0	1	1	0	0	0	0	1	0	0
Supply Chain Management Features	Supplier Self-Service	0	1	0	0	0	1	1	0	0	0
