On Premise	Windows	eMaint CMMS Facility Management  by eMaint	1
On Premise	Windows	FM:Interact Workplace Management Suite Facility Management  by FM:Systems Inc	0
On Premise	Windows	FMX Facility Management  by Facilities Management eXpress LLC	0
On Premise	Windows	IFS Facility Management  by Integrated Facility Solutions LLC	1
On Premise	Windows	Mpulse Facility Management  by SpechTech Inc.	0
On Premise	Windows	CHAMPS EAM Facility Management  by CHAMPS Software Inc.	1
On Premise	Windows	DirectLine Facility Management  by Megamation Systems Inc.	0
On Premise	Windows	iMaint EAM Facility Management  by DPSI Solutions Inc.	1
On Premise	Windows	iOffice Facility Management  by iOffice, Inc.	0
On Premise	Windows	QFM Facility Management  by Service Works Group	0
Business Size	Small-Medium Businesses	eMaint CMMS Facility Management  by eMaint	1
Business Size	Large Enterprises	eMaint CMMS Facility Management  by eMaint	1
Business Size	Small-Medium Businesses	FM:Interact Workplace Management Suite Facility Management  by FM:Systems Inc	0
Business Size	Large Enterprises	FM:Interact Workplace Management Suite Facility Management  by FM:Systems Inc	1
Business Size	Small-Medium Businesses	FMX Facility Management  by Facilities Management eXpress LLC	1
Business Size	Large Enterprises	FMX Facility Management  by Facilities Management eXpress LLC	1
Business Size	Small-Medium Businesses	IFS Facility Management  by Integrated Facility Solutions LLC	1
Business Size	Large Enterprises	IFS Facility Management  by Integrated Facility Solutions LLC	1
Business Size	Small-Medium Businesses	Mpulse Facility Management  by SpechTech Inc.	1
Business Size	Large Enterprises	Mpulse Facility Management  by SpechTech Inc.	1
Business Size	Small-Medium Businesses	CHAMPS EAM Facility Management  by CHAMPS Software Inc.	1
Business Size	Large Enterprises	CHAMPS EAM Facility Management  by CHAMPS Software Inc.	0
Business Size	Small-Medium Businesses	DirectLine Facility Management  by Megamation Systems Inc.	1
Business Size	Large Enterprises	DirectLine Facility Management  by Megamation Systems Inc.	0
Business Size	Small-Medium Businesses	iMaint EAM Facility Management  by DPSI Solutions Inc.	1
Business Size	Large Enterprises	iMaint EAM Facility Management  by DPSI Solutions Inc.	1
Business Size	Small-Medium Businesses	iOffice Facility Management  by iOffice, Inc.	1
Business Size	Large Enterprises	iOffice Facility Management  by iOffice, Inc.	0
Business Size	Small-Medium Businesses	QFM Facility Management  by Service Works Group	1
Business Size	Large Enterprises	QFM Facility Management  by Service Works Group	0
Languages Supported	English	eMaint CMMS Facility Management  by eMaint	1
Languages Supported	Portugese	eMaint CMMS Facility Management  by eMaint	1
Languages Supported	English	FM:Interact Workplace Management Suite Facility Management  by FM:Systems Inc	1
Languages Supported	Portugese	FM:Interact Workplace Management Suite Facility Management  by FM:Systems Inc	0
Languages Supported	English	FMX Facility Management  by Facilities Management eXpress LLC	1
Languages Supported	Portugese	FMX Facility Management  by Facilities Management eXpress LLC	0
Languages Supported	English	IFS Facility Management  by Integrated Facility Solutions LLC	1
Languages Supported	Portugese	IFS Facility Management  by Integrated Facility Solutions LLC	0
Languages Supported	English	Mpulse Facility Management  by SpechTech Inc.	1
Languages Supported	Portugese	Mpulse Facility Management  by SpechTech Inc.	0
Languages Supported	English	CHAMPS EAM Facility Management  by CHAMPS Software Inc.	1
Languages Supported	Portugese	CHAMPS EAM Facility Management  by CHAMPS Software Inc.	0
Languages Supported	English	DirectLine Facility Management  by Megamation Systems Inc.	1
Languages Supported	Portugese	DirectLine Facility Management  by Megamation Systems Inc.	0
Languages Supported	English	iMaint EAM Facility Management  by DPSI Solutions Inc.	1
Languages Supported	Portugese	iMaint EAM Facility Management  by DPSI Solutions Inc.	0
Languages Supported	English	iOffice Facility Management  by iOffice, Inc.	1
Languages Supported	Portugese	iOffice Facility Management  by iOffice, Inc.	0
Languages Supported	English	QFM Facility Management  by Service Works Group	1
Languages Supported	Portugese	QFM Facility Management  by Service Works Group	0
Countries Available	Canada	eMaint CMMS Facility Management  by eMaint	0
Countries Available	United Kingdom	eMaint CMMS Facility Management  by eMaint	1
Countries Available	United States	eMaint CMMS Facility Management  by eMaint	1
Countries Available	Brazil	eMaint CMMS Facility Management  by eMaint	1
Countries Available	Canada	FM:Interact Workplace Management Suite Facility Management  by FM:Systems Inc	0
Countries Available	United Kingdom	FM:Interact Workplace Management Suite Facility Management  by FM:Systems Inc	0
Countries Available	United States	FM:Interact Workplace Management Suite Facility Management  by FM:Systems Inc	1
Countries Available	Brazil	FM:Interact Workplace Management Suite Facility Management  by FM:Systems Inc	0
Countries Available	Canada	FMX Facility Management  by Facilities Management eXpress LLC	0
Countries Available	United Kingdom	FMX Facility Management  by Facilities Management eXpress LLC	0
Countries Available	United States	FMX Facility Management  by Facilities Management eXpress LLC	1
Countries Available	Brazil	FMX Facility Management  by Facilities Management eXpress LLC	0
Countries Available	Canada	IFS Facility Management  by Integrated Facility Solutions LLC	0
Countries Available	United Kingdom	IFS Facility Management  by Integrated Facility Solutions LLC	0
Countries Available	United States	IFS Facility Management  by Integrated Facility Solutions LLC	1
Countries Available	Brazil	IFS Facility Management  by Integrated Facility Solutions LLC	0
Countries Available	Canada	Mpulse Facility Management  by SpechTech Inc.	0
Countries Available	United Kingdom	Mpulse Facility Management  by SpechTech Inc.	0
Countries Available	United States	Mpulse Facility Management  by SpechTech Inc.	1
Countries Available	Brazil	Mpulse Facility Management  by SpechTech Inc.	0
Countries Available	Canada	CHAMPS EAM Facility Management  by CHAMPS Software Inc.	0
Countries Available	United Kingdom	CHAMPS EAM Facility Management  by CHAMPS Software Inc.	0
