feature_group	feature	Microsoft Project	Clarizen	JIRA	Wrike	Smartsheet	Basecamp 3	Trello	Asana	Xtrant	Slack
Traditional Project Management	Calendar	1	1	0	1	1	1	1	1	1	0
Traditional Project Management	Cross Project Dependencies	0	0	0	1	1	0	0	0	0	0
Traditional Project Management	Gate Review Process	1	0	0	0	1	0	0	0	0	0
Traditional Project Management	Interactive Gantt Charts	1	1	1	1	1	1	0	1	0	0
Traditional Project Management	Project Hierarchy	0	1	0	1	1	0	0	0	0	0
Traditional Project Management	Project Portfolio Management	0	1	0	1	1	0	0	0	0	0
Traditional Project Management	Project Templates	1	1	1	1	1	1	0	0	0	0
Traditional Project Management	Risk/Benefit Analyzer	0	1	0	0	0	0	0	0	0	0
Traditional Project Management	Scheduling	1	1	0	1	1	1	0	1	1	0
Traditional Project Management	Supports Multiple Projects	1	1	0	1	0	0	0	0	0	1
Agile Project Management	Burndown Charts	1	1	1	0	1	0	0	0	0	0
Agile Project Management	Card View	0	0	1	0	1	0	1	0	0	0
Agile Project Management	Cycle Time Analytics	0	0	0	0	0	0	0	1	0	0
Agile Project Management	Kanban	0	0	1	1	0	0	0	0	0	0
Agile Project Management	Manage Product Backlog	0	0	1	1	1	0	0	0	0	0
Agile Project Management	Scrum Methodology	0	0	1	1	0	0	0	0	0	0
Agile Project Management	User Stories	0	0	0	1	1	0	1	0	0	0
Agile Project Management	Version Control	0	0	0	1	1	0	0	0	0	0
Task Management	Add Recurring Tasks	1	0	0	1	1	1	1	1	1	0
Task Management	Assign Stakeholders	1	0	0	1	1	0	1	0	0	0
Task Management	Group Tasks by Projects	1	1	0	1	1	0	1	1	0	0
Task Management	Set Priorities	1	1	1	1	1	1	0	0	0	0
Task Management	Task History	1	1	0	1	1	1	1	1	1	0
Task Management	To-Do List	1	1	0	1	1	1	0	1	1	0
Issue Tracking	Code Integration	0	0	1	0	0	0	0	0	0	0
Issue Tracking	Escalation Management	0	1	0	0	0	0	0	0	0	0
Issue Tracking	Issue History	0	1	0	0	1	1	0	0	0	0
Issue Tracking	Multiple Workflows	0	1	1	1	1	0	1	0	0	0
Collaboration	Create Teams/Groups	1	0	0	1	1	1	1	1	1	1
Collaboration	Document Management	1	1	0	1	1	1	1	0	1	1
Collaboration	Forums	1	1	0	1	0	1	0	1	1	0
Collaboration	Messaging or Instant Messaging	1	1	1	1	1	1	0	1	1	1
Collaboration	RSS Feed	1	1	1	1	0	1	0	0	0	0
Collaboration	Social Collaboration Platform	1	1	1	1	0	1	0	1	1	0
Collaboration	Web Conferencing	1	0	0	1	0	0	0	0	0	0
Collaboration	Wiki	0	1	1	1	0	0	0	0	0	0
Resource Management	Allocate Resource by Skill Sets	1	1	0	0	1	1	0	0	0	0
Resource Management	Cross Project Resource Allocation	0	1	0	1	1	0	0	0	0	0
Resource Management	Forecast Resource Needs	1	1	0	0	1	1	1	0	0	0
Resource Management	User/Role Based Permissions	1	0	0	1	1	0	0	0	0	0
Budget and Expenses	Create Budgets	1	1	0	0	1	0	0	0	0	0
Budget and Expenses	Forecast Budgets	1	0	0	0	1	0	0	0	0	0
Budget and Expenses	Manage Expenses	0	1	0	1	1	0	0	0	0	0
Budget and Expenses	Set Hourly Rates	1	1	0	1	1	0	0	0	0	0
Budget and Expenses	Track Burn Rate	1	1	0	1	0	0	0	0	0	0
Budget and Expenses	Track Project Hours	1	1	1	1	1	1	1	0	0	0
Budget and Expenses	Track Staff Hours	1	1	1	1	1	0	0	0	1	0
Reporting	Custom Reports	1	1	0	1	1	0	0	1	0	0
Reporting	Dashboard	1	1	0	1	1	1	1	1	0	0
Reporting	Financial Reports	0	1	0	1	1	0	0	0	0	0
Reporting	Resource Reports	1	1	0	1	1	0	0	0	0	0
Notifications	Custom Notifications	0	0	1	1	1	0	1	0	0	1
Notifications	Email Integration	1	1	1	1	1	1	1	0	1	0
Notifications	Notification Groups	0	0	1	1	0	0	0	1	0	1
Notifications	SMS Notifications	0	0	1	1	0	0	1	0	0	0
Customization	Curated Features	0	0	1	1	0	0	0	1	0	0
Customization	Custom Fields	1	1	0	1	1	0	0	1	0	0
Customization	Custom Labels	1	1	0	1	1	1	1	1	0	0
Customization	Custom User Interface	0	1	0	1	1	0	0	0	0	1
Customization	Software Development Kit	1	0	0	1	1	0	0	0	0	1
Learning and Support	24/7	0	1	0	1	1	0	1	0	0	0
Learning and Support	Blog	0	1	0	1	1	0	1	1	1	0
Learning and Support	Brochures	0	1	0	0	0	0	0	0	0	0
Learning and Support	Email	1	1	0	1	1	1	1	1	1	1
Learning and Support	FAQ	1	1	1	1	1	1	0	1	1	1
