feature_group	feature	Celoxis	MindManager	Workspace	Agile Bench	Flying Donut	CorasWorks	Calendar24	TrackVia	Kanbanpad	OpenProject
Main Functionality	Agile Project Management	0	0	0	1	1	0	0	0	1	1
Main Functionality	Budgeting	1	1	1	0	1	1	0	1	1	1
Main Functionality	Collaboration	1	1	1	1	1	1	1	1	0	1
Main Functionality	Customization	1	1	1	0	0	1	0	1	0	1
Main Functionality	Issue Tracking	1	1	1	0	0	1	0	1	0	1
Main Functionality	Learning and Support	1	1	1	0	1	1	1	1	1	1
Main Functionality	Notifications	1	1	1	1	0	1	0	1	0	1
Main Functionality	Reporting	1	1	1	1	1	1	0	1	0	1
Main Functionality	Resource Management	1	1	1	0	1	1	0	1	0	1
Main Functionality	Task Management	1	1	1	1	1	1	0	0	1	1
Main Functionality	Traditional Project Management	1	1	1	1	1	1	1	0	1	1
Traditional Project Management	Calendar	1	1	0	0	1	0	1	0	0	1
Traditional Project Management	Cross Project Dependencies	1	1	1	0	0	1	0	0	0	1
Traditional Project Management	Interactive Gantt Charts	1	1	1	0	0	1	1	0	0	1
Traditional Project Management	Mind Maps	0	1	0	0	0	0	0	0	0	0
Traditional Project Management	Project Hierarchy	1	0	1	1	1	0	0	0	0	1
Traditional Project Management	Project Portfolio Management	1	0	0	0	0	1	0	0	0	0
Traditional Project Management	Project Templates	1	1	0	0	1	0	0	0	0	0
Traditional Project Management	Risk/Benefit Analyzer	1	0	0	0	0	1	0	0	0	1
Traditional Project Management	Scheduling	1	0	1	0	1	1	1	0	1	1
Traditional Project Management	Supports Multiple Projects	1	0	0	0	1	1	0	0	0	1
Agile Project Management	Burndown Charts	0	0	0	1	0	0	0	0	0	1
Agile Project Management	Card View	0	0	0	1	0	0	0	0	0	1
Agile Project Management	Cycle Time Analytics	0	0	1	0	0	0	0	0	0	0
Agile Project Management	Kanban	0	0	0	0	0	0	0	0	1	0
Agile Project Management	Manage Product Backlog	0	0	0	1	1	0	0	0	0	1
Agile Project Management	Scrum Methodology	0	0	0	0	1	0	0	0	0	1
Agile Project Management	User Stories	0	0	0	1	1	0	0	0	0	1
Agile Project Management	Version Control	0	0	1	0	0	0	0	0	0	1
Task Management	Add Recurring Tasks	0	0	0	1	1	1	0	0	0	0
Task Management	Assign Stakeholders	1	0	1	0	0	0	0	0	0	1
Task Management	Group Tasks by Projects	1	1	0	1	0	0	0	0	0	1
Task Management	Set Priorities	1	1	1	1	1	0	0	0	0	1
Task Management	Task History	1	1	1	1	0	1	0	0	0	1
Task Management	To-Do List	1	1	1	1	1	0	0	0	1	1
Issue Tracking	Code Integration	1	0	0	1	0	0	0	0	0	0
Issue Tracking	Escalation Management	1	0	0	0	0	0	0	0	0	0
Issue Tracking	Issue History	1	0	1	1	0	0	0	0	0	0
Issue Tracking	Multiple Workflows	1	0	0	1	0	1	0	1	0	1
Collaboration	Create Teams/Groups	0	1	0	1	1	1	0	0	0	1
Collaboration	Document Management	1	1	1	0	1	1	1	1	0	1
Collaboration	Forums	1	1	0	0	0	0	0	0	0	1
Collaboration	Messaging or Instant Messaging	1	0	1	1	0	0	0	0	0	1
Collaboration	RSS Feed	1	0	0	0	0	0	0	0	0	0
Collaboration	Social Collaboration Platform	1	0	1	0	1	0	0	0	0	0
Collaboration	Web Conferencing	0	0	0	0	1	0	0	0	0	1
Collaboration	Wiki	0	0	0	0	0	0	0	0	0	1
Resource Management	Allocate Resource by Skill Sets	1	1	1	0	1	1	0	0	0	1
Resource Management	Cross Project Resource Allocation	1	0	1	0	0	1	0	0	0	0
Resource Management	Forecast Resource Needs	1	1	1	0	0	0	0	1	0	0
Resource Management	User/Role Based Permissions	1	0	1	1	1	0	0	0	0	1
Budget and Expenses	Create Budgets	1	1	0	0	1	0	0	0	0	1
Budget and Expenses	Forecast Budgets	1	0	0	0	0	1	0	1	0	0
Budget and Expenses	Manage Expenses	1	0	0	0	1	1	0	0	0	1
Budget and Expenses	Set Hourly Rates	1	0	0	0	1	0	0	0	0	1
Budget and Expenses	Track Burn Rate	1	0	0	0	1	0	0	0	0	0
Budget and Expenses	Track Project Hours	1	1	1	0	1	1	0	0	1	1
Budget and Expenses	Track Staff Hours	1	0	1	0	0	0	0	0	0	0
Reporting	Custom Reports	1	1	1	0	1	1	0	0	0	1
Reporting	Dashboard	1	1	1	1	1	1	0	1	0	1
Reporting	Financial Reports	1	1	1	0	0	0	0	1	0	1
Reporting	Resource Reports	1	0	1	0	0	0	0	1	0	0
Notifications	Custom Notifications	1	0	1	0	0	1	0	1	0	0
Notifications	Email Integration	1	1	1	0	0	0	0	0	0	1
Notifications	Notification Groups	1	0	0	1	0	0	0	0	0	0
Notifications	SMS Notifications	0	0	0	0	0	0	0	1	0	0
Customization	Curated Features	1	0	1	0	0	1	0	1	0	1
Customization	Custom Fields	1	0	1	0	0	0	0	1	0	1
Customization	Custom Labels	0	1	1	0	0	0	0	1	0	1
Customization	Custom User Interface	1	0	0	0	0	0	0	1	0	1
Customization	Software Development Kit	1	0	0	0	0	1	0	1	0	0
Learning and Support	24/7	0	0	1	0	1	0	0	0	0	0
Learning and Support	Blog	1	1	1	1	1	1	0	1	1	1
Learning and Support	Brochures	1	0	1	0	0	0	0	0	0	0
Learning and Support	Email	1	0	1	1	1	1	1	1	0	1
Learning and Support	FAQ	1	1	0	1	1	0	1	1	1	1
Learning and Support	Forums	1	1	1	0	0	0	0	1	0	1
Learning and Support	Help Desk	1	0	0	0	0	1	0	0	0	0
Learning and Support	Instructional Videos	1	1	1	0	1	0	0	1	0	1
Learning and Support	Knowledge base	1	1	0	1	1	0	0	1	0	0
Learning and Support	Live chat	1	1	0	0	0	1	0	1	0	0
Learning and Support	Mailing List	0	0	0	0	0	1	0	0	0	1
Learning and Support	On-site	1	0	0	0	0	1	1	0	0	1
Learning and Support	Online self serve	1	0	0	0	0	0	0	0	0	0
Learning and Support	Owner's/User Manual	1	0	0	0	0	0	0	1	0	1
Learning and Support	Phone	0	1	1	1	0	1	0	1	0	0
Learning and Support	Recorded demos	1	0	1	0	1	1	0	1	0	0
Learning and Support	Remote Training	1	0	0	0	1	0	0	0	0	0
Learning and Support	Request form	0	1	1	0	1	0	0	0	1	0
Learning and Support	System upgrades	1	0	0	0	0	0	0	0	0	0
Learning and Support	Tips and hints	1	0	0	0	0	0	0	0	0	1
Learning and Support	Webinars	1	1	0	0	1	0	0	1	0	0
Learning and Support	White papers	0	1	0	0	0	0	0	1	0	0
Learning and Support	Wiki	0	0	0	0	0	0	0	0	0	1
