feature_group	feature	FastTrack Schedule	Daptiv PPM	Zoho Projects	Twproject	Primavera	OrangeScrum	Todoist	Targetprocess	PM3	ProjExec
Traditional Project Management	Calendar	1	1	1	1	0	1	1	0	1	1
Traditional Project Management	Cross Project Dependencies	0	1	0	1	0	0	0	1	1	1
Traditional Project Management	Gate Review Process	0	0	0	0	0	0	0	0	1	1
Traditional Project Management	Mind Maps	1	1	0	0	0	0	0	0	0	0
Traditional Project Management	Project Hierarchy	0	0	1	0	0	0	1	1	1	1
Traditional Project Management	Project Portfolio Management	0	0	0	0	1	0	0	1	1	1
Traditional Project Management	Project Templates	1	1	1	1	1	1	0	1	1	1
Traditional Project Management	Risk/Benefit Analyzer	0	1	0	0	1	0	0	0	1	1
Traditional Project Management	Supports Multiple Projects	0	1	0	0	0	1	0	1	0	1
Traditional Project Management	Interactive Gantt Charts	1	1	1	1	1	1	1	1	1	1
Traditional Project Management	Scheduling	1	1	1	1	1	1	1	1	1	1
Agile Project Management	Burndown Charts	0	1	0	1	1	1	0	1	0	0
Agile Project Management	Card View	0	0	0	0	0	0	0	1	0	0
Agile Project Management	Cycle Time Analytics	0	0	0	1	0	1	0	1	0	0
Agile Project Management	Kanban	0	0	0	1	0	1	1	1	0	1
Agile Project Management	Manage Product Backlog	0	0	0	0	0	0	0	1	0	1
Agile Project Management	Scrum Methodology	0	1	0	1	0	0	1	1	1	1
Agile Project Management	User Stories	0	1	1	1	0	0	0	1	0	0
Agile Project Management	Version Control	0	0	0	1	0	0	0	0	0	0
Task Management	Add Recurring Tasks	1	0	1	1	0	1	1	0	1	1
Task Management	Assign Stakeholders	0	1	0	0	0	0	0	1	0	1
Task Management	Group Tasks by Projects	0	1	1	1	0	1	0	1	1	1
Task Management	Set Priorities	1	1	0	1	1	1	1	1	1	1
Task Management	Task History	1	0	1	1	1	1	1	1	1	1
Task Management	To-Do List	0	1	1	0	0	1	1	1	1	1
Issue Tracking	Code Integration	0	0	0	0	0	0	0	1	0	0
Issue Tracking	Escalation Management	0	0	0	0	0	0	0	0	1	1
Issue Tracking	Issue History	0	0	1	1	0	1	1	1	1	1
Issue Tracking	Multiple Workflows	1	1	1	1	0	1	1	1	0	1
Collaboration	Create Teams/Groups	0	0	1	1	0	1	1	1	1	1
Collaboration	Document Management	1	1	1	1	1	1	1	0	1	1
Collaboration	Forums	1	1	1	1	1	1	1	0	0	1
Collaboration	Messaging or Instant Messaging	0	0	1	1	0	1	1	0	0	1
Collaboration	RSS Feed	1	1	1	1	0	1	1	0	0	1
Collaboration	Social Collaboration Platform	0	0	1	1	0	0	0	0	0	1
Collaboration	Web Conferencing	0	0	1	0	0	0	0	0	0	1
Collaboration	Wiki	0	1	1	1	0	0	0	0	0	1
Resource Management	Allocate Resource by Skill Sets	1	1	0	0	0	0	0	1	1	1
Resource Management	Cross Project Resource Allocation	0	1	1	1	0	1	0	1	1	1
Resource Management	Forecast Resource Needs	0	0	0	0	1	0	0	1	1	1
Resource Management	User/Role Based Permissions	1	1	0	1	0	0	0	1	0	1
Budget and Expenses	Create Budgets	0	0	0	0	0	1	0	1	1	0
