feature_group	feature	24SevenOffice	Assembla	Project Kickstart	OmniPlan	Métier	WorkOtter	Innotas	HumanEdj	Producteev	Copper
Traditional Project Management	Cross Project Dependencies	0	0	0	1	1	0	0	1	0	0
Traditional Project Management	Gate Review Process	0	0	0	0	1	0	0	0	0	0
Traditional Project Management	Interactive Gantt Charts	1	0	1	1	1	1	1	1	0	1
Traditional Project Management	Mind Maps	0	0	0	0	1	0	0	0	0	0
Traditional Project Management	Project Hierarchy	0	1	0	0	1	1	1	1	1	1
Traditional Project Management	Project Portfolio Management	0	1	0	0	1	0	1	0	1	0
Traditional Project Management	Project Templates	0	1	1	0	1	1	1	1	0	1
Traditional Project Management	Risk/Benefit Analyzer	0	0	0	0	1	1	1	1	0	0
Traditional Project Management	Scheduling	1	0	1	1	1	1	1	1	1	1
Traditional Project Management	Supports Multiple Projects	0	1	0	0	0	0	1	0	1	1
Traditional Project Management	Calendar	1	1	1	1	1	1	1	1	1	1
Agile Project Management	Burndown Charts	0	1	0	0	1	0	0	0	0	0
Agile Project Management	Card View	0	1	0	0	0	0	0	0	0	0
Agile Project Management	Cycle Time Analytics	0	0	0	0	0	1	0	1	0	0
Agile Project Management	Kanban	0	1	0	0	0	0	0	0	0	0
Agile Project Management	Manage Product Backlog	0	1	0	0	1	1	0	1	0	0
Agile Project Management	Scrum Methodology	0	1	0	0	1	0	1	1	0	0
Agile Project Management	User Stories	0	1	1	0	1	1	0	1	1	1
Agile Project Management	Version Control	0	1	0	0	1	0	1	1	0	0
Task Management	Add Recurring Tasks	1	0	1	0	1	0	1	1	1	0
Task Management	Assign Stakeholders	1	1	0	0	1	0	0	0	1	1
Task Management	Set Priorities	0	1	0	0	1	1	1	1	1	1
Task Management	Task History	0	1	1	1	1	1	1	1	1	1
Task Management	To-Do List	0	1	0	1	1	1	0	1	1	1
Task Management	Group Tasks by Projects	1	1	1	1	1	1	1	1	1	1
Issue Tracking	Code Integration	0	1	0	0	1	0	0	0	1	0
Issue Tracking	Escalation Management	0	0	0	0	1	0	0	0	1	0
Issue Tracking	Issue History	0	1	1	1	1	0	0	1	0	0
Issue Tracking	Multiple Workflows	0	1	0	0	1	0	1	0	1	0
