feature_group	feature	SEO for Chrome	SEO Info	Firefox SEO Profesional Toolbar	Chrome SEO Profesional Toolbar	Seo&Sem	SEOMastering.com	SEOQuake	SERPTrends	Tinapols Link Finder	Web Presence Analytics
Site Optimization	Analytics	1	1	0	1	1	1	0	0	1	1
Site Optimization	Domain Age	0	0	0	0	1	1	1	0	0	0
Site Optimization	Duplicate Content	0	0	0	0	0	1	0	0	0	0
Site Optimization	HTML Validator	0	0	0	0	0	0	1	0	0	0
Site Optimization	PageRank Analysis	1	1	1	1	1	1	1	0	0	0
Site Optimization	Robots.txt Management	1	0	0	0	1	0	0	1	0	0
Site Optimization	SEO Recommendations	0	0	0	0	1	0	0	1	0	0
Site Optimization	Social Media Integration	1	1	0	0	1	1	1	1	0	1
Site Optimization	Spider	0	0	0	0	0	1	0	0	0	0
Site Optimization	Title/Meta Management	0	0	0	0	0	0	1	0	0	0
Competitive Analysis	Competitor Backlink Analysis	0	0	0	0	0	1	0	0	0	1
Competitive Analysis	Competitor Keyword Analysis	1	0	0	0	0	0	0	0	0	0
Competitive Analysis	Competitor Link Metrics	1	0	0	0	0	0	0	0	0	0
Competitive Analysis	Competitor Ranking	0	0	0	0	0	1	0	0	0	1
Competitive Analysis	Domain Comparison	0	0	0	0	0	1	0	0	0	0
Keyword Research	Keyword Density Analysis	0	0	0	0	0	1	1	0	0	0
Keyword Research	Keyword Generator	0	0	0	1	0	0	0	0	0	0
Keyword Research	Keyword Market Analysis	0	0	0	1	0	0	1	0	0	1
Keyword Research	Keyword Performance	1	0	0	1	0	0	1	0	1	1
Keyword Research	Keyword Suggestion	0	0	0	0	0	1	0	0	0	0
Link Management	Backlink Management	1	1	0	1	0	1	0	0	0	1
Link Management	Broken Links	0	0	0	0	0	1	0	0	0	0
Link Management	Link Analysis	1	0	0	1	0	1	1	0	0	0
Link Management	Link Anchor Text	0	0	0	0	0	1	0	0	1	0
Link Management	Link Partner Analysis	0	0	0	0	0	1	0	0	0	0
Link Management	Link Popularity	0	0	0	0	0	1	0	0	0	0
Promotion Features	Affiliate Program	0	0	0	0	0	0	1	1	0	0
Promotion Features	PPC/CPC Ad Tracking	1	0	0	0	0	0	0	0	0	0
Reports	Backlinks Report	1	0	1	1	0	1	0	0	0	1
Reports	Competitive Analysis Report	1	0	0	0	0	0	0	0	0	0
Reports	Keyword Report	0	0	0	0	0	0	1	0	0	0
Reports	Link Building Report	0	1	0	0	0	1	0	0	0	0
Reports	Search Engine Report	0	0	0	0	0	0	0	0	0	1
Reports	Traffic Report	1	0	0	0	0	0	1	0	0	1
Integrations	Google AdWords	0	0	0	0	0	1	0	0	0	0
Integrations	Google Analytics	0	0	0	0	0	1	0	0	0	1
Integrations	GSI	0	0	0	0	0	1	0	0	0	0
Integrations	Omniture	0	0	0	0	0	1	0	0	0	0
Integrations	OneStop	0	0	0	0	0	1	0	0	0	0
Integrations	Websphere	0	0	0	0	0	1	0	0	0	0
Integrations	Webtrends	0	0	0	0	0	1	0	0	0	0
