feature_group	feature	SEO Elite	UpCity	BruteForce SEO Evo	AllSubmitter	SEO Suite	SEO Administrator	Web Position	MySiteAuditor	SEO MASTER Express	SEO monitor
Site Optimization	Analytics	1	1	1	0	1	1	1	0	0	1
Site Optimization	Domain Age	0	0	1	1	0	0	1	0	0	0
Site Optimization	Duplicate Content	0	0	0	1	0	0	0	0	0	0
Site Optimization	HTML Validator	0	0	0	1	0	1	1	0	1	0
Site Optimization	PageRank Analysis	1	1	1	1	1	1	1	0	1	0
Site Optimization	Robots.txt Management	0	0	0	1	1	1	0	0	0	0
Site Optimization	SEO Recommendations	1	1	0	0	0	1	1	0	1	0
Site Optimization	Site Submission	1	0	0	0	1	1	0	0	0	0
Site Optimization	Sitemap Management	1	0	0	0	1	1	0	0	0	0
Site Optimization	Social Media Integration	0	1	0	0	0	0	0	0	0	0
Site Optimization	Title/Meta Management	0	0	0	1	1	0	0	0	1	0
Site Optimization	Unindexed Pages	0	0	0	0	1	0	0	0	1	0
Competitive Analysis	Competitor Backlink Analysis	0	0	0	0	0	0	0	1	0	0
Competitive Analysis	Competitor Keyword Analysis	0	0	0	0	1	0	0	1	0	1
Competitive Analysis	Competitor Link Metrics	0	0	0	0	0	0	0	1	0	0
Competitive Analysis	Competitor Ranking	0	0	0	0	1	1	1	1	0	1
Competitive Analysis	Domain Comparison	0	0	0	0	0	0	0	1	0	0
Competitive Analysis	Number of Competing Sites	0	0	0	0	0	0	0	1	0	1
Keyword Research	Keyword Density Analysis	0	0	0	0	1	1	0	0	1	0
Keyword Research	Keyword Difficulty Analysis	0	0	0	0	0	0	0	0	1	1
Keyword Research	Keyword Generator	0	0	1	1	1	1	0	0	1	1
Keyword Research	Keyword Performance	0	0	0	0	0	0	0	0	1	1
Keyword Research	Keyword Suggestion	1	0	0	1	0	1	0	0	1	1
Link Management	Backlink Management	0	0	0	1	0	0	0	0	0	0
Link Management	Broken Links	0	0	0	0	0	1	1	0	0	1
Link Management	Link Analysis	0	0	0	0	1	1	1	0	0	0
Link Management	Link Anchor Text	0	0	0	0	0	0	1	0	1	0
Link Management	Link Popularity	0	0	0	1	0	1	1	0	0	0
Link Management	Outbound Link Management	0	0	0	0	0	0	0	0	1	0
Promotion Features	Affiliate Program	1	1	1	1	0	0	0	1	1	1
Promotion Features	PPC/CPC Ad Tracking	0	0	1	1	1	0	0	0	0	0
Reports	Backlinks Report	0	0	0	0	0	0	1	1	0	0
Reports	Competitive Analysis Report	0	0	0	0	0	0	0	1	0	1
Reports	Keyword Report	0	0	0	0	0	0	1	0	0	1
Reports	Link Building Report	0	0	0	0	0	1	0	0	0	0
Reports	Search Engine Report	0	1	0	0	1	1	1	0	0	0
Reports	Site/Page Structure Report	0	0	0	0	0	0	0	1	1	0
Reports	Traffic Report	0	0	0	0	0	0	0	0	0	1
Integrations	Google AdWords	0	0	1	1	0	0	0	0	0	1
Integrations	Google Analytics	0	0	0	1	0	0	0	0	0	1
Integrations	Omniture	0	0	0	0	0	0	0	0	0	1
Integrations	SEOMoz Landscape data	0	1	0	0	0	0	0	0	0	0
