feature_group	feature	SEMRush	LotusJump Pro	Yoast Google Analytics for Wordpress	WP Social SEO Booster	Web SEO Analytics	Google SERP Snippet Optimization Tool	Keyword Density Checker	Keyword Density Tool	Googlerankings Keyword Density	Submit Express Meta Tags Analyzer
Site Optimization	Analytics	1	1	1	0	1	0	1	0	1	0
Site Optimization	Domain Age	1	0	0	0	1	0	1	0	0	0
Site Optimization	Duplicate Content	1	0	0	0	1	0	1	0	0	0
Site Optimization	HTML Validator	0	0	0	0	1	0	0	1	1	0
Site Optimization	PageRank Analysis	1	1	1	1	1	1	1	1	1	0
Site Optimization	Robots.txt Management	1	0	0	0	0	0	1	0	0	0
Site Optimization	SEO Recommendations	0	1	0	0	0	0	0	1	0	0
Site Optimization	Site Submission	0	1	0	1	1	0	0	1	0	0
Site Optimization	Sitemap Management	0	0	0	0	1	0	0	0	0	0
Site Optimization	Social Media Integration	0	1	0	1	1	0	0	0	0	0
Site Optimization	Spider	0	0	0	0	1	0	1	1	0	1
Site Optimization	Subdomain Analytics	0	0	0	0	0	0	0	0	1	0
Site Optimization	Title/Meta Management	0	0	0	1	0	1	1	1	1	1
Competitive Analysis	Competitor Backlink Analysis	0	1	0	0	1	0	0	0	0	0
Competitive Analysis	Competitor Keyword Analysis	1	1	0	0	1	0	1	0	0	0
Competitive Analysis	Competitor Link Metrics	1	0	0	0	0	0	0	0	0	0
Competitive Analysis	Competitor Ranking	1	0	0	0	0	0	0	0	0	1
Competitive Analysis	Domain Comparison	1	0	0	0	1	0	1	0	0	0
Competitive Analysis	Number of Competing Sites	1	0	0	0	0	0	0	0	0	0
Keyword Research	Keyword Density Analysis	0	0	0	0	1	0	1	1	1	1
Keyword Research	Keyword Difficulty Analysis	1	0	0	0	1	0	0	0	0	0
Keyword Research	Keyword Generator	1	0	0	0	0	0	0	1	0	0
Keyword Research	Keyword Market Analysis	1	0	0	0	1	0	0	0	0	0
Keyword Research	Keyword Performance	1	1	0	0	1	1	0	0	1	0
Keyword Research	Keyword Suggestion	0	1	0	0	0	0	1	1	0	0
Link Management	Backlink Management	1	1	0	0	1	0	0	1	0	0
Link Management	Broken Links	1	0	0	0	0	0	0	1	0	0
Link Management	Link Analysis	1	1	0	0	1	0	1	0	0	1
Link Management	Link Anchor Text	1	0	0	0	0	0	1	0	0	0
Link Management	Link Partner Analysis	1	0	0	0	0	0	0	0	0	0
Link Management	Link Popularity	1	0	0	0	1	0	1	0	0	0
Promotion Features	Affiliate Program	1	1	1	0	1	1	1	1	0	0
Promotion Features	PPC/CPC Ad Tracking	1	0	0	0	1	0	1	0	0	0
Reports	Backlinks Report	1	1	0	0	1	0	0	1	0	0
Reports	Competitive Analysis Report	1	1	0	0	0	0	0	0	0	0
Reports	Keyword Report	1	0	0	0	1	0	0	0	1	0
Reports	Link Building Report	0	1	1	0	1	0	0	0	0	0
Reports	Search Engine Report	1	0	0	0	0	0	0	0	0	0
Reports	Site/Page Structure Report	0	0	0	0	1	0	0	0	0	0
Reports	Traffic Report	1	1	0	0	1	0	0	0	1	0
Integrations	Google AdWords	1	1	0	0	0	0	1	0	0	0
Integrations	Google Analytics	0	0	1	1	1	0	0	0	0	0
