feature_group	feature	Sawmill Analytics	Webtrends Analytics	MarketShare Optimizer	AT Internet - Digital Analytics Solution	TEA Software	AddShoppers	Opentracker Web Analytics	Logaholic	Angelfish Software	SOLA Analytics
Track Geo Stats	City	1	1	0	0	1	0	1	1	1	1
Track Geo Stats	Country	1	1	0	1	1	1	1	1	1	1
Track Geo Stats	ISP	1	0	0	1	1	0	1	0	1	1
Track Geo Stats	Organization Name	1	0	0	0	0	0	1	1	1	0
Track Geo Stats	State	1	1	0	1	1	0	1	1	1	1
Track Traffic Sources	Direct	1	1	0	1	1	0	1	1	1	0
Track Traffic Sources	Referring	1	1	0	1	1	1	1	1	1	0
Track Traffic Sources	Search Engine	1	1	0	1	1	1	1	1	1	0
Track Visitors	Pageviews	1	1	0	1	1	1	1	1	1	1
Track Visitors	Returning Visitors	1	1	0	1	1	1	1	1	1	1
Track Visitors	Time on Site	1	1	0	1	1	0	1	1	1	1
Track Visitors	Unique Visitors	1	1	0	1	1	1	1	1	1	1
Mobile Tracking	Mobile Devices	0	0	0	0	1	1	1	1	1	1
Mobile Tracking	Mobile Operating System	0	0	0	1	1	0	1	1	1	1
Mobile Tracking	None	1	1	0	0	0	0	0	0	0	0
