feature_group	feature	Analytics Canvas	App Annie	Bizible Marketing Analytics	Analytics Pro	Catchpoint	Chartbeat	Clicky	Compete	Daddy Analytics	Decibel Insight
Track Geo Stats	City	0	0	1	1	0	0	1	1	1	1
Track Geo Stats	Country	0	1	1	1	1	1	1	1	1	1
Track Geo Stats	ISP	0	1	1	0	1	0	1	0	1	0
Track Geo Stats	State	0	1	1	0	0	0	1	1	1	1
Track Traffic Sources	Direct	0	1	1	1	0	1	1	1	1	1
Track Traffic Sources	Referring	1	0	1	0	0	1	1	1	1	0
Track Traffic Sources	Search Engine	1	1	1	0	0	1	1	1	1	0
Track Visitors	Pageviews	0	1	1	1	1	0	1	1	1	1
Track Visitors	Returning Visitors	1	0	0	1	0	1	0	0	1	1
Track Visitors	Time on Site	0	1	1	1	0	1	1	1	1	1
Track Visitors	Unique Visitors	1	0	1	0	1	0	0	1	1	1
Mobile Tracking	Mobile Devices	1	1	0	1	1	1	0	1	0	0
Mobile Tracking	Mobile Operating System	0	0	0	0	0	0	0	1	0	0
Mobile Tracking	None	0	0	1	1	0	0	1	0	1	1
