feature_group	feature	Rekko Cloud Marketing Suite	Insights	Upsight	W3Counter	WebLog Expert	Woopra	Site Stats	Ometria	Webtrends	UsabilityTools
Track Geo Stats	City	0	0	0	1	1	1	1	0	0	0
Track Geo Stats	Country	0	0	1	1	1	1	1	0	0	0
Track Geo Stats	None	0	1	0	0	0	0	0	0	0	0
Track Geo Stats	Organization Name	0	0	0	0	0	1	0	0	0	0
Track Geo Stats	State	0	0	0	1	1	1	1	0	0	0
Track Traffic Sources	Direct	0	0	0	0	0	0	1	1	0	1
Track Traffic Sources	Referring	1	1	0	1	0	1	1	1	0	0
Track Traffic Sources	Search Engine	0	0	1	1	1	1	1	1	0	0
Track Visitors	Pageviews	1	1	0	1	1	0	1	1	1	1
Track Visitors	Returning Visitors	1	0	0	1	1	0	1	1	0	0
Track Visitors	Time on Site	0	1	1	0	0	0	1	1	1	1
Track Visitors	Unique Visitors	1	0	1	1	0	1	1	1	1	0
Mobile Tracking	Mobile Devices	1	0	0	1	0	0	0	1	1	0
Mobile Tracking	Mobile Operating System	0	0	0	1	0	1	0	1	0	1
Mobile Tracking	None	0	1	1	0	1	0	0	0	0	0
